"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATP1A1",4969.62043662467,2.70336321524571,0.0709762485374084,38.0882798253403,0,0
"HSPA8",13137.7322703509,2.15311104212404,0.0628958340050547,34.2329675118228,7.81859262196609e-257,7.41319859451714e-253
"A2M",29735.6102072084,1.92098577599893,0.0569058355372277,33.7572721297137,8.36201637857815e-250,5.28563055289925e-246
"NEAT1",12271.8839006876,-1.69648514197624,0.0527361918722088,-32.169276577406,4.7487012420625e-227,2.25124054133078e-223
"EEF1A1P5",9724.80908560196,1.90239359938267,0.0592213765313289,32.1234275663328,2.07630117364569e-226,7.87457983116866e-223
"CNOT1",6070.14210197749,1.85454873625662,0.0592115674660701,31.3207168062106,2.43770362764318e-215,7.70436231516626e-212
"EIF3L",5113.17531434064,2.12411251788865,0.0692441877460652,30.6756796061826,1.20147277229447e-206,3.25478974014573e-203
"SYT2",4304.90326773694,2.3332094575325,0.0789206848056338,29.5639788640803,4.34239396799492e-192,1.0293102101886e-188
"CX3CR1",19172.4776874166,1.4875515432498,0.0524310513283524,28.3715757277863,4.53574430773332e-177,9.5568132563941e-174
"PSAP",142809.013227832,1.60620330852958,0.0590548271550695,27.1985100271638,6.76387201672261e-163,1.28263305053111e-159
"PRKDC",7764.86489336632,1.52908613045393,0.0571360887628061,26.7621771732005,8.91030822698026e-158,1.53605613552933e-154
"PPP1R16B",12937.7463023595,1.62026827605466,0.0610762255387933,26.5286248742652,4.53256931920135e-155,7.16259266666793e-152
"PDIA6",2144.81915042883,2.15796152368232,0.081483304508926,26.4834807165427,1.5022975595721e-154,2.19138989401275e-151
"ABHD2",1564.67845159601,2.31739789327144,0.0887343635673734,26.1161268318773,2.39149432044009e-150,3.2392790570361e-147
"FCGBP",215111.583882625,1.47526936322453,0.0597446460416976,24.6929132728461,1.27440384301984e-134,1.61110133834568e-131
"TFRC",6214.12635540896,1.60453594348805,0.0668687121801046,23.9953169602905,3.11213644134496e-127,3.68846520857653e-124
"SLC31A1",4926.51259214941,1.62205309259783,0.068044143880275,23.8382467630405,1.34084167162021e-125,1.49566944817259e-122
"GOLGA8A",6036.4409091898,-1.59956824137338,0.0675862803065728,-23.667055415947,7.87854097412794e-124,8.30004291624379e-121
"DYNC1H1",7682.60679967616,1.37433247519629,0.0583691634971948,23.5455228900503,1.39519543429562e-122,1.39247847476567e-119
"HADHA",8346.11679982175,1.25319331043692,0.0551184554334822,22.7363648088669,1.95790707990866e-114,1.8563895978154e-111
"MAT2A",9484.7963877605,1.24783952996683,0.054914196857572,22.7234413207078,2.6279185504668e-114,2.37301045107152e-111
"SMCR8",2145.10036053478,1.79046026702504,0.0789495272408752,22.6785432363938,7.29648972916066e-114,6.28924248791244e-111
"PLXDC2",16655.8993901019,1.34165165266947,0.0605424657534605,22.1605056215072,8.26179084636412e-109,6.81166694867838e-106
"DOCK2",10717.8860436435,1.33073206804456,0.0601827189413678,22.1115312078374,2.44821281664062e-108,1.93439415174817e-105
"CCNL2",8172.30937021539,-1.29313190526801,0.058548430577452,-22.0865340456455,4.25841896300165e-108,3.23009595181601e-105
"CD93",2887.43994306759,1.81621312282779,0.0825485846298956,22.0017475886562,2.77094386666929e-107,2.02097725167884e-104
"MGAT5",2648.75973846817,1.84385472731035,0.0856332867903143,21.5319859416969,7.81135919198186e-103,5.4861779391686e-100
"MSN",32832.6407923135,1.10128529731218,0.0512058083113136,21.5070386276639,1.33776759852737e-102,9.06003106102662e-100
"GALNT2",2381.40281387066,1.61005396916189,0.0748883634160195,21.4993878316946,1.57755033936498e-102,1.031554727082e-99
"ARHGAP31",4030.60657372432,1.37518488767863,0.0645123004459942,21.316630753694,7.95860241602251e-101,5.03063258716783e-98
"FKBP11",1613.90281062808,-1.77720868757194,0.0834114263210994,-21.3065375567422,9.87322910269643e-101,6.03954978949782e-98
"NDRG1",3207.78258404341,1.65105443289407,0.0779126587503889,21.1910934548339,1.15386407602699e-99,6.83772639803119e-97
"ADAR",8504.83920107733,1.22910284773924,0.0580101487556537,21.1877210126867,1.23953323070943e-99,7.12280868301299e-97
"GSTM2",5540.05117801803,-1.43516814815398,0.0678865287502165,-21.1406913061437,3.36118506236964e-99,1.87465153934457e-96
"TBC1D14",1102.66073178044,2.25341577781011,0.107344658981734,20.9923418564639,7.7054298599477e-98,4.17480189811966e-95
"USP22",3216.94745761506,1.52633823570105,0.0732835899086718,20.8278311365917,2.42182270073709e-96,1.27569510761326e-93
"TGFBR2",4032.97643944019,1.33761611215586,0.0642659758026709,20.8137524630921,3.24892011145449e-96,1.66511546144626e-93
"GNS",3694.20373146275,1.38974451056762,0.0672688256197778,20.6595625501602,8.00865198712792e-95,3.99652809557649e-92
"TLN1",22003.9939922294,1.25442644091553,0.0607858057868437,20.6368316530079,1.2819536056515e-94,6.23325287794087e-92
"CLTC",12628.8441832022,1.29625799101594,0.0633389431487922,20.4654186914809,4.37904699778518e-93,2.07599670547501e-90
"ARHGAP35",4320.45641291135,1.39408206042031,0.0682146339584906,20.4367007417884,7.88956670696928e-93,3.64902081620143e-90
"PARM1",8029.06699553781,1.26464705221636,0.061967141036366,20.408349184194,1.40965950208972e-92,6.36461265193508e-90
"KLF13",4798.52346440534,1.55893743817524,0.0766246309074362,20.3451216627517,5.12846720055707e-92,2.26165403544567e-89
"CTDSP2",4568.38699863322,1.3494289773049,0.066690499292955,20.2342011472608,4.89494016501873e-91,2.10960796248296e-88
"PLEKHB2",6005.60863580195,1.19967391045546,0.0594068169896787,20.1942129076515,1.10066679371007e-90,4.63820986869425e-88
"CYBB",42877.9005215431,1.26742938541646,0.0629758810372754,20.1256316631168,4.40127405879645e-90,1.81437739080342e-87
"SORT1",6501.86000548963,1.27737572350271,0.0635122537143127,20.1122720231049,5.76230059190933e-90,2.32490438562503e-87
"SRA1",9708.07379540127,-1.39806431071623,0.0700099488707893,-19.9695090950074,1.01445488328522e-88,4.00773082327869e-86
"PRKCA",7115.23537404639,1.39331992155903,0.0698134906095285,19.9577461231951,1.28372922107055e-88,4.96803208554301e-86
"ZFP36L2",6106.31711258395,1.23629771822142,0.0619902076972359,19.9434356513141,1.70913159403226e-88,6.48205248352675e-86
"DDB1",13535.1913469026,1.15339701047594,0.0578614514148747,19.9337725250948,2.0732903487057e-88,7.70898134951103e-86
"SCRN1",5323.24998127472,1.26508938684344,0.0637505748851485,19.844360448868,1.23287349666193e-87,4.4959577148462e-85
"MIR503HG",2808.45253193276,-1.43644879760728,0.0724439764188495,-19.8284090495276,1.69310788912962e-87,6.0578122455783e-85
"AHSA2P",4742.77775267955,-1.36133960069458,0.0686692963025542,-19.8245747953579,1.82718778584171e-87,6.4164744412808e-85
"PARP4",4492.31616023765,1.31803646573211,0.0665659735121466,19.8004535378966,2.95025663479067e-87,1.0171948466461e-84
"IQGAP1",13301.114292271,1.1877650286821,0.0600160045889065,19.7908047497992,3.57291202255878e-87,1.20987733363897e-84
"MCM2",1072.83113866612,2.24859568775034,0.113635936537371,19.7877164237639,3.79867346740911e-87,1.26375868355226e-84
"LIPA",7661.78549819074,1.43155702652971,0.0727491231827312,19.6779969833303,3.32901637270486e-86,1.08841616337245e-83
"PECAM1",5738.20120101521,1.25771322092877,0.0641145537559419,19.6166571745376,1.1144501518762e-85,3.58191834407259e-83
"ST6GAL1",5692.74467966814,1.14560077873269,0.0586874652854192,19.5203656038168,7.37089563455303e-85,2.32957156530049e-82
