"","C08_V_1","C08_V_2","C08_V_3","C08_100_1","C08_100_2","C08_100_3"
"ATP1A1",1364.5761264774,1386.14815432326,1215.96668475085,8770.96513610276,8733.92724374095,8346.1392743528
"HSPA8",5124.83555335694,4867.34214919903,4474.56978689416,21550.6688148157,21863.0200602139,20945.9572576254
"A2M",12958.709359356,12568.1652287727,11742.227947054,46503.7952531529,48465.0525555874,46175.7108993274
"NEAT1",18889.1635568163,18718.2746197199,18663.9746588036,5814.68170585306,5683.77778902168,5861.43107391132
"EEF1A1P5",4164.65669632436,3959.06698871781,4191.97772226065,15964.3858031375,15106.4834480353,14962.2838551362
"CNOT1",2688.9242523294,2595.07188708921,2605.47538429739,9575.29276342943,9399.92716024082,9556.16116447867
"EIF3L",1889.65739779842,1994.82964979093,1838.60729188943,8454.54568271105,8669.93050909357,7831.48135476047
"SYT2",1593.24055108494,1314.4144598834,1368.4022382876,6982.47436477356,7175.227113431,7395.66087896111
"CX3CR1",10039.0034192282,10161.9217432237,10038.4674909856,28868.5326241915,28568.5762227582,27358.3646241123
"PSAP",72597.7789181077,71048.004713601,68207.8747206097,201367.974299121,228356.619578124,215275.82713743
"PRKDC",3879.88479716034,4078.27151036052,4031.33410045653,11586.8706313945,11403.3503618292,11609.4779589968
"PPP1R16B",6280.86125553951,6697.60626468675,6071.62535548689,19108.8515461957,20412.7889716792,19054.7444205692
"PDIA6",818.322223248279,733.160553466261,804.390690201624,3405.49282211517,3564.29271273383,3543.25590080781
"ABHD2",516.612218557775,504.2456756214,548.767992732303,2593.57719830429,2547.93779129999,2676.9298330603
"FCGBP",117336.60877153,113530.175431068,110545.090843671,292836.719118428,333017.313296619,323403.595834432
"TFRC",2949.3476247991,3247.00458067504,3031.12235301924,9774.85707096425,8899.88487765705,9382.54162533909
"SLC31A1",2494.13603877483,2375.65117468492,2379.16721635437,7914.28033303502,7201.25968345705,7194.58110659026
"GOLGA8A",8518.80844822626,9278.96435725069,9438.10592628698,3068.58577821607,2838.63482325759,3075.54612190118
"DYNC1H1",4308.63059329948,4307.18638820538,4214.25676470064,10711.2158371162,11130.0083765556,11424.3428381796
"HADHA",4897.22976034481,4882.11085099547,5020.99261726436,11804.6461304915,11688.623941698,11783.0974981364
"MAT2A",5497.4738749396,5716.54250249449,5648.32354912715,13323.0042269826,13523.9201285348,13199.5140444843
"SMCR8",1003.5827524442,936.757656802935,945.100431927855,3208.20491352561,3413.52074466627,3363.43566384182
"PLXDC2",9446.16972580128,9306.39194630123,9524.87693368483,24920.498053455,22176.4955909443,24560.9640904246
"DOCK2",6444.94915282732,5779.83693876495,6068.10761194374,15194.2041599898,15624.9654677209,15195.2529306143
"CCNL2",11232.08122725,11570.2229502417,12020.1296869633,4702.28142126731,4855.07430985898,4654.06662571106
"CD93",1352.93117892794,1166.72744191897,1313.29092277816,4800.92537556209,4285.61184053906,4405.15289867931
"MGAT5",1256.59570374606,1187.82558734246,1016.62788397202,4160.49847229444,4035.0483540383,4235.96242941574
"MSN",20913.2671672312,21319.6759504362,20393.5319008552,44054.3899880486,45960.5023809975,44354.4773663122
"GALNT2",1145.43938622851,1164.61762737662,1215.96668475085,3488.2019837931,3622.86599529245,3651.32520578245
"ARHGAP31",2262.29571938108,2281.76442755039,2184.51874029974,5950.50684292048,5785.73868829039,5718.81502390381
"FKBP11",2557.65393449915,2469.53792181945,2469.45596729536,720.100866351892,713.726294880967,752.94187892166
"NDRG1",1563.59886641359,1481.08980872896,1602.91847449799,4499.6819151388,5180.48143518465,4918.92500429645
"ADAR",4985.09618276345,5268.20691224533,5005.74906191069,12246.2675258727,11807.9398876508,11715.775636021
"GSTM2",8429.88339421222,8322.16346229544,7512.72762699971,2903.16745486021,3005.67714759143,3066.68798214916
"TBC1D14",432.980322520758,366.052823097543,347.084029591371,1807.46076253973,1809.26361681072,1853.12283612249
"USP22",1655.69981521385,1640.38080667631,1676.79108890426,4485.26472181879,5045.97982338337,4797.56848969378
"TGFBR2",2229.47813992351,2342.94904927851,2287.70588423231,5850.34528932886,5812.8559487342,5674.52432514371
"GNS",2054.80392668164,2029.64158973969,2039.11867384931,5558.96622433505,5140.34788972782,5342.34408444298
"TLN1",13317.5854701984,13152.5838570034,12520.8218512725,29192.5400740674,32948.5561296417,30891.8765711929
"CLTC",7229.39516502263,7619.59521969324,7077.70000882945,19119.4747412736,16964.5581336449,17762.3418307496
"ARHGAP35",2425.32498507349,2277.54479846569,2441.31401895012,6065.84438948053,6577.56269324952,6135.14759224873
"PARM1",4954.39586649669,4727.03948213283,4475.74236807522,11676.4089899082,11100.7217352763,11240.0935313376
"KLF13",2646.57898851319,2265.94081848277,2381.51237871647,6784.42765653558,7629.71239846918,7082.96854571482
"CTDSP2",2567.1816188578,2610.89549615683,2545.67374406374,6184.21713463427,6782.56918220469,6719.78481588202
"PLEKHB2",3677.68616243793,3718.54813089003,3532.98709850946,8471.99807462474,8258.83284076548,8373.59950758406
"CYBB",25582.8911345639,24763.9481908208,25160.0744018313,65659.6923775507,56047.0385756755,60053.7584488164
"SORT1",3764.49395326116,3921.09032695553,3708.87427566725,9576.81036272627,8731.75786290545,9308.13325142212
"SRA1",14268.2366428723,14292.938617143,13659.3981780739,4809.27217169472,5714.14912071875,5504.44804190494
"PRKCA",3736.96953178063,4272.37444825663,3761.64042881459,10542.0035155183,9828.37987525295,10550.0444446553
"ZFP36L2",3548.53310779849,3663.69295278895,3704.18395094305,8269.39856849623,8936.76435186062,8515.32974361638
"DDB1",8790.87676824542,8178.69607341571,8215.10375444982,18137.5879962163,19291.2190797234,18597.664409365
