"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPNMB",3208.2480948987,-2.66161517981797,0.0751206464123739,-35.4312070906188,5.64913980151677e-275,8.49743608944153e-271
"FOS",9499.76201721918,2.08850200003253,0.0624830923273671,33.4250742439293,5.92726509401105e-245,4.45789607720571e-241
"EGR1",2947.01842928117,2.30106568996268,0.0808156742368524,28.4730123418729,2.52932605177766e-178,1.26820408236132e-174
"CD207",14022.2824544036,1.92692075116569,0.0695642439118459,27.6998734235873,7.00671235638096e-169,2.63487418161706e-165
"FOSB",436.383079001096,4.41078068274705,0.199352684297015,22.1255143782034,1.79578380884504e-108,5.40243601052942e-105
"DUSP1",3951.83280500077,1.5754779925142,0.0718856068370573,21.9164595227711,1.80998832760449e-106,4.53764073730445e-103
"CCL22",696.297090507888,2.79655221044061,0.142951035249045,19.5630077499511,3.19653986637514e-85,6.86890752428784e-82
"MX1",1260.31472027133,1.60813373278104,0.103041301000819,15.6066908818267,6.55497688765034e-55,8.96363294036695e-52
"CD3G",1134.50829809824,1.61946660357153,0.10575284416236,15.3136931342026,6.19444407442432e-53,7.76473564729089e-50
"GYPC",673.192784310125,-2.04190425340574,0.138920546968231,-14.6983603071523,6.60395059866091e-49,7.0954732075041e-46
"TRDN",283.883648915645,-2.88615091213905,0.196521808377559,-14.6861609709705,7.90682788629813e-49,7.92896700437976e-46
"APOB",578.968471703599,-1.89324190826577,0.131008554712188,-14.4512845930178,2.46053587661032e-47,2.05618781422069e-44
"PLA2G7",1368.43535254684,-1.59513324438508,0.111268702953393,-14.3358662592951,1.30606622209999e-46,1.03399200593832e-43
"LMNA",256.020537582099,-3.04628104631011,0.231189068992674,-13.1765790639809,1.19696532435673e-39,6.92490477268231e-37
"PLXND1",1207.13410148613,-1.62531200682146,0.12846217697535,-12.6520665077421,1.08970343383134e-36,5.65217898334172e-34
"MAN1C1",500.118719013468,1.73926487887257,0.138122379697028,12.5922018045711,2.33079867042614e-36,1.16866245335167e-33
"TDRD6",677.07966841198,-1.68140690061031,0.137729475190719,-12.2080396972544,2.81592182226812e-34,1.24579694266344e-31
"HIC1",767.952937979904,1.5661747186364,0.130619715891971,11.9903393445726,3.9926613080331e-33,1.71593175415525e-30
"LAMP3",390.071253492384,2.41194665100068,0.201765977392948,11.9541792038769,6.17405705668468e-33,2.57972684018475e-30
"IFIT3",508.656323068198,1.58294193120241,0.132995802484364,11.9021946680498,1.15275099438236e-32,4.56307380460512e-30
"RNASE1",263.174943030943,-2.09261223151213,0.190177615424395,-11.0034623519825,3.67735635425702e-28,1.12887335266804e-25
"PMP22",437.258354176684,-1.60879137426998,0.1488595565604,-10.8074443552249,3.17389199660278e-27,9.18109296401905e-25
"CD109",94.566657674968,-4.2263699675052,0.411238158930216,-10.2771833686338,8.92991764145931e-25,2.09880970566923e-22
"EPAS1",203.256977079395,-2.32124842523812,0.226735895681041,-10.2376750636058,1.34427850549854e-24,3.01800556413568e-22
"IGFBP3",199.721854904718,-2.6329594061177,0.26000010002695,-10.126763050648,4.20334236272183e-24,9.2980405617738e-22
"KCNA5",391.771521921928,1.5017035282533,0.156722018089539,9.58195629790415,9.52238965939299e-22,1.72573235248903e-19
"HBB",179.424344207832,10.8773284662022,1.19612620248508,9.09379666092366,9.56396407320136e-20,1.45314290494035e-17
"TGM5",150.373358129872,-2.34128352273703,0.271856976683056,-8.61218847977779,7.16788688129016e-18,8.98494620569721e-16
"CLDN1",88.0641409553519,2.97869426763964,0.347564606890013,8.57018870331135,1.03315602483389e-17,1.27383056766815e-15
"NR4A3",182.145030223294,1.89159310466737,0.220849088717186,8.56509354715833,1.07988136508812e-17,1.32061589379313e-15
"PAPSS2",266.731732678791,-1.54449702221622,0.183329023991779,-8.42472723950941,3.61591593148627e-17,4.08951935649748e-15
"CH25H",111.820609044513,2.93386520621244,0.350231897206084,8.37692177559169,5.43299305150656e-17,6.05356159116753e-15
"CD3D",234.079467818244,1.64894671195677,0.197917852946146,8.3314702913913,7.98444748011929e-17,8.76657364933974e-15
"IFIT2",239.5422712286,1.76269453013678,0.213075257136211,8.27263828671557,1.31026751833816e-16,1.39780453977607e-14
"CD163L1",105.935623467552,-2.29341273583464,0.286695052894341,-7.9994848626839,1.24940808173091e-15,1.18198719279222e-13
"SULT1C2",67.7837303253782,-3.32070741699362,0.416478574704304,-7.97329711222549,1.54496150214283e-15,1.45245693220203e-13
"ABLIM3",43.897909247806,-4.34494529936179,0.559006236706716,-7.77262401392737,7.68766772657423e-15,6.88320821090057e-13
"EDN1",111.603378845637,2.45430208498187,0.323469344644006,7.58743332442507,3.26304423819458e-14,2.80472636748131e-12
"TNFRSF13C",181.523280525279,1.7029679959563,0.224542579416034,7.58416510750518,3.34634809044251e-14,2.85998681684297e-12
"ALDH1A1",90.8112326068614,-2.6034772057101,0.346223806600123,-7.51963659367025,5.4928704606552e-14,4.56484847895997e-12
"PTGS2",301.126818533215,1.80224247199345,0.239794760906785,7.51577084160749,5.65765786256821e-14,4.67596096531599e-12
"PLAU",111.383851926314,-2.1296538905316,0.283894987838577,-7.50155508818817,6.3065115210894e-14,5.15557316849059e-12
"ATP6V0D2",80.3258812460067,-2.79823569621331,0.375012855533109,-7.4617060586774,8.54092583803843e-14,6.79749240506741e-12
"NR4A2",141.998112391754,1.87152293240176,0.25277500674378,7.4039081494271,1.32233903991817e-13,1.03596999158589e-11
"MYO7A",308.780919203815,-1.50721441338182,0.206306099971218,-7.30571909212618,2.75787802053559e-13,2.12738467614853e-11
"CADPS2",43.4825999842279,-4.73678474361021,0.64965970692069,-7.29117827864376,3.07255859841306e-13,2.35803196108823e-11
"HPGD",52.8752191114342,3.63843537930453,0.503974142226052,7.21948821269594,5.21835913502774e-13,3.84777245632781e-11
"SELENOP",186.664520836031,-1.70372320276007,0.239260975257891,-7.12077346054316,1.07323067804575e-12,7.6509648621631e-11
"CLEC4F",111.174729016268,2.58910011757375,0.367092132047799,7.05299812101836,1.75103216451664e-12,1.22507096830974e-10
"FCN1",46.990862965888,-3.1799051844625,0.461827109621399,-6.88548835314009,5.75896263990593e-12,3.76636156649848e-10
"CDH20",99.0639507944553,1.9338488539348,0.282972864529514,6.83404345907912,8.25539974047141e-12,5.32951600412751e-10
"DGKI",72.7011066243131,-2.38012465814526,0.348889647212117,-6.82199852349931,8.978258962955e-12,5.7714090308021e-10
"COL1A2",47.9444310122363,3.1781534253125,0.475013884250052,6.69065374863756,2.22175792307217e-11,1.38097862309304e-09
"KLRK1-AS1",61.414078882406,-2.47670694751957,0.37225379157943,-6.65327527494398,2.86641349016026e-11,1.75270698044677e-09
"ADGRG6",146.806209507576,-1.75036808368749,0.266467617115871,-6.56878348908853,5.07279802745185e-11,3.04004095334385e-09
"EYA2",30.4092445060459,-4.18367809743024,0.64658047466607,-6.47046773194153,9.77000160544116e-11,5.56668046019113e-09
"BIRC3",102.658454693529,2.19702928989188,0.339866585070286,6.46438745791242,1.01709960118887e-10,5.77328762305018e-09
"ETS1",125.832389274892,-1.69823806373566,0.272517863980367,-6.2316577670593,4.61524869668955e-10,2.40216508289288e-08
"STON2",65.1057505760062,-2.40416377039013,0.387779012677067,-6.19982952092423,5.65243535989385e-10,2.85315210347394e-08
"MIR124-1HG",117.465879200143,-1.76873231403169,0.299860092725413,-5.89852520205596,3.66764953800843e-09,1.61785291351093e-07
"RBMS3",32.2298236497997,3.60579162568909,0.613026045954765,5.881955015587,4.05448550673271e-09,1.76264656047033e-07
"WWC1",58.2442646030389,-2.97232965271311,0.506490950549422,-5.86847533897465,4.39820801063188e-09,1.89564025489756e-07
"GRIN2C",99.9290633711444,1.75814399442019,0.300557072619739,5.84961777507254,4.9270390984984e-09,2.11750063198894e-07
"COL3A1",25.654093877675,4.5815649171177,0.788799982546521,5.80827208226706,6.31208808695167e-09,2.64474732601468e-07
"APBA2",105.298919287994,-1.68492205395282,0.291046182842987,-5.7891913836293,7.07260759929304e-09,2.90672577892256e-07
"ACSS3",86.2948043892204,-2.00055829410384,0.354799622014032,-5.63855813246813,1.71479931952292e-08,6.6308512504534e-07
"ZMYND15",100.802083234667,1.57971793653709,0.280510476412918,5.63158266578145,1.78563350804555e-08,6.86943714271642e-07
"NCCRP1",28.4775041590362,3.66794376521596,0.657402424185418,5.5794497103671,2.41280689871485e-08,9.16501044708809e-07
"GABRA3",95.8975690168318,-1.77462681574575,0.319640044718329,-5.55195397156691,2.82493986115395e-08,1.05441055561979e-06
"TAMALIN",59.2134768242238,2.40963412695652,0.434773695666157,5.54227210839996,2.98571849665828e-08,1.10891796609219e-06
"HK3",73.7907129138562,-1.90094702832813,0.343496467650558,-5.53410939370119,3.12813703351083e-08,1.15895165660271e-06
"B3GNT8",78.3159890219621,-1.73132811470609,0.313090414625378,-5.52980236324921,3.20591771012773e-08,1.17673402262348e-06
"KRT14",16.1578229008485,7.40421193255935,1.34381206109414,5.50985673289076,3.59125875723791e-08,1.30798339531169e-06
"KRT6A",17.5235444952987,7.52566713662866,1.36856179785325,5.49896040385866,3.82036903068102e-08,1.3747844727154e-06
"KRT1",15.5772247178582,7.3536185612361,1.34952510890715,5.44904167599453,5.06419467506859e-08,1.79659472411278e-06
"GNAO1",59.5662640247538,2.61839898335479,0.483887751700869,5.4111702024924,6.26142238270396e-08,2.20056811870638e-06
"VEGFA",53.1823470822085,2.4807682384259,0.458642225107527,5.40893991573562,6.33988933502198e-08,2.22295140739862e-06
"SMOC1",114.703819439331,-1.54938537841969,0.288421400278341,-5.37195012895873,7.78896530391734e-08,2.69957640786923e-06
"TRPM8",72.1363556914786,-1.91121277921726,0.35609206217963,-5.36718725915646,7.99740131741816e-08,2.75910345450927e-06
"HBA1",14.4306033963733,7.24364177456629,1.36594709978062,5.30301779309729,1.13903814539602e-07,3.81590462874097e-06
"AREG",15.1042754437795,7.30995665753833,1.3889727187156,5.26285114102019,1.41838416988839e-07,4.62805524587011e-06
"DDIT4L",144.987162250447,-1.77136212283022,0.33818741437768,-5.23781207556117,1.62491390365288e-07,5.24505470788555e-06
"GLT1D1",93.9818460673963,1.58891885944972,0.313948298247269,5.06108447894268,4.16878439111556e-07,1.24914053408686e-05
"MPO",20.4585259208296,5.87906170015772,1.17410583071841,5.00726727211671,5.52082418463634e-07,1.60008164518882e-05
"CLEC9A",86.3029279979938,1.69443503613953,0.33849797810334,5.00574640248584,5.56459790118602e-07,1.60966695441616e-05
"LGI2",44.6273127930359,-2.66332728478435,0.538508123830359,-4.9457513581046,7.58507254992583e-07,2.12863174059672e-05
"MEP1A",26.9902622782933,-2.84663825744677,0.586500444734798,-4.85359948658513,1.21240475332378e-06,3.25080076639862e-05
"AATK",48.8693181509273,-2.11125138977881,0.446989250863743,-4.72327105338465,2.32081198717854e-06,5.78932900682249e-05
"KRT5",10.6453609997968,6.79964395654028,1.4565978029142,4.66816848339075,3.03896647920039e-06,7.39405272704827e-05
"C1orf21",28.9258052926041,-2.83780952085253,0.614055757487589,-4.62141993825355,3.81122415115535e-06,9.04233969742568e-05
"MDFIC",70.806193457448,-1.58319916528017,0.343612034049998,-4.60751955226866,4.07500896473406e-06,9.59253283998901e-05
"LINC00698",11.6088430883269,-7.04595913470951,1.5343318093048,-4.59220039106274,4.3859691377031e-06,0.000103083980889578
"CD209",9.11367117825868,-6.69122703340131,1.47482493048969,-4.53696360501556,5.70699507498039e-06,0.000130661521944985
"ASCL4",22.6508484959803,3.04968714971401,0.674076316650613,4.52424610445811,6.06111642630683e-06,0.000137721017046084
"ZFPM2-AS1",15.5542563059159,-5.56202822774796,1.2361535490256,-4.49946386687337,6.81250576602198e-06,0.000152490642459081
"SLC6A11",9.55507189910019,-6.76286772526872,1.51536291843252,-4.4628700115377,8.08691157511678e-06,0.00017810149914042
"ACAN",39.2249024279092,2.12724995903007,0.486515578538474,4.37241899924453,1.22877412552463e-05,0.000258506578967015
"KCNJ6",40.2891658020359,-2.10937855320927,0.485469364978798,-4.34502917254395,1.39257155190482e-05,0.000286946044982909
"SIGLEC15",86.0138240117568,-1.82864644057708,0.425278111076326,-4.29988375359597,1.7088772337596e-05,0.000341366950202018
"DNAJC5B",7.84874365918479,-6.47930603477825,1.51250226269198,-4.28383229208946,1.83701402499095e-05,0.000362629461468687
"ABCG2",55.7163391830771,-1.94177094448224,0.455528118129629,-4.26268075932401,2.01988988289307e-05,0.000394075014506843
"DSG2",7.77143049193778,6.34939616555754,1.49668002602395,4.24232037252828,2.21220587846107e-05,0.000427163040100275
"RAB6B",41.3077494712941,-1.89300212869194,0.451337704428581,-4.19420338721445,2.7383220556156e-05,0.000513589031927305
"CALD1",27.7675771182649,-2.57235915486896,0.61418054677945,-4.18827846039332,2.81078508116522e-05,0.000525868522274718
"F2RL3",53.040645508147,1.55552476776429,0.372995859000292,4.1703539871285,3.04126863018651e-05,0.000564078455428674
"BATF",61.7536914268193,-1.53794951413698,0.369687640704734,-4.16013235174752,3.1806322580835e-05,0.000584878611565918
"LINC01814",56.0567205938615,-1.58586111405315,0.382196065260762,-4.14933919576373,3.33436422264618e-05,0.000609003302504755
"CCDC149",29.6688088350596,-2.29845626031885,0.554427252270514,-4.14564084089682,3.38864633281984e-05,0.000617094650584455
"FBXL7",12.3078769748396,-5.21275395785469,1.25865005299016,-4.14154350962828,3.44976413695177e-05,0.000626707151546239
"DMKN",8.09527337724736,6.4140824571006,1.56621774617825,4.09526866411245,4.21679101217956e-05,0.000746223181237704
"MARVELD3",20.8431585854018,-3.12080620149026,0.767833685259421,-4.06442991679358,4.8150003620956e-05,0.000841199017963323
"IDO1",14.6182769316747,3.70272658326767,0.914445690734845,4.04914870372693,5.14042760767431e-05,0.000889065170441822
"PTGIR",28.6311817699782,2.61557974255332,0.648024752270732,4.03623431572346,5.43159707252266e-05,0.000931608701994138
"SYCP2L",20.2605955496135,2.68294947377311,0.671109995523802,3.99777904019902,6.39395946715537e-05,0.00107221781833836
"CCL3L1",51.3378127358202,1.6205459257065,0.411015441431415,3.94278599378831,8.05405187446995e-05,0.00130548543422173
"FN1",231.452470375329,2.13250956939288,0.54130193797783,3.9395934501166,8.16198049205123e-05,0.00131730161546604
"RGCC",40.9831463979188,1.91255568196885,0.490498820959386,3.89920546236587,9.65088560999581e-05,0.00151691349368398
