"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.00200819709878644,3,16,2,0.125,0.666666666666667,"CORUM:6618","CORUM","RhBG-kAE1-ankyrin-G complex",3383,2258,"CORUM,CORUM","ANK3,SLC4A1","ANK3,SLC4A1","ENSG00000151150,ENSG00000004939","CORUM - RhBG-kAE1-ankyrin-G complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:1063","CORUM","GRASP-GRP1 complex",3383,571,"CORUM","TAMALIN","TAMALIN","ENSG00000161835","CORUM - GRASP-GRP1 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:2798","CORUM","MMP-2-CLDN1 complex",3383,1202,"CORUM","CLDN1","CLDN1","ENSG00000163347","CORUM - MMP-2-CLDN1 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:6808","CORUM","ADRB1-CXCR4 complex",3383,2388,"CORUM","CXCR4","CXCR4","ENSG00000121966","CORUM - ADRB1-CXCR4 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:2695","CORUM","ETS2-FOS-JUN complex",3383,1133,"CORUM","FOS","FOS","ENSG00000170345","CORUM - ETS2-FOS-JUN complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:6825","CORUM","CP-MPO complex",3383,2398,"CORUM","MPO","MPO","ENSG00000005381","CORUM - CP-MPO complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:2688","CORUM","MMP14-CLDN1 complex",3383,1129,"CORUM","CLDN1","CLDN1","ENSG00000163347","CORUM - MMP14-CLDN1 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:6807","CORUM","ADRA1A-CXCR4 complex",3383,2387,"CORUM","CXCR4","CXCR4","ENSG00000121966","CORUM - ADRA1A-CXCR4 complex"
"query_1",TRUE,0.0167788148971412,1,16,1,0.0625,1,"CORUM:7309","CORUM","END1-ENDRA complex",3383,2761,"CORUM","EDN1","EDN1","ENSG00000078401","CORUM - END1-ENDRA complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:3141","CORUM","CRLR-RAMP3 complex",3383,1421,"CORUM","CALCRL","CALCRL","ENSG00000064989","CORUM - CRLR-RAMP3 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:2351","CORUM","ITGB6-FYN-FN1 complex",3383,991,"CORUM","FN1","FN1","ENSG00000115414","CORUM - ITGB6-FYN-FN1 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:2375","CORUM","FN1-TGM2 complex",3383,1008,"CORUM","FN1","FN1","ENSG00000115414","CORUM - FN1-TGM2 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:2694","CORUM","ERG-JUN-FOS DNA-protein complex",3383,1132,"CORUM","FOS","FOS","ENSG00000170345","CORUM - ERG-JUN-FOS DNA-protein complex"
"query_1",TRUE,0.0167788148971412,1,16,1,0.0625,1,"CORUM:1439","CORUM","PTGS2 homodimer complex",3383,752,"CORUM","PTGS2","PTGS2","ENSG00000073756","CORUM - PTGS2 homodimer complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:1301","CORUM","CRLR-RAMP1 complex",3383,727,"CORUM","CALCRL","CALCRL","ENSG00000064989","CORUM - CRLR-RAMP1 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:3140","CORUM","CRLR-RAMP2 complex",3383,1420,"CORUM","CALCRL","CALCRL","ENSG00000064989","CORUM - CRLR-RAMP2 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:1300","CORUM","CRLR-RAMP1 complex",3383,726,"CORUM","CALCRL","CALCRL","ENSG00000064989","CORUM - CRLR-RAMP1 complex"
"query_1",TRUE,0.0167788148971412,2,16,1,0.0625,0.5,"CORUM:5375","CORUM","EGR-EP300 complex",3383,1655,"CORUM","EGR1","EGR1","ENSG00000120738","CORUM - EGR-EP300 complex"
"query_1",TRUE,0.0215249477939733,3,16,1,0.0625,0.333333333333333,"CORUM:6235","CORUM","c-Fos-c-Jun-SAF-1 complex",3383,1993,"CORUM","FOS","FOS","ENSG00000170345","CORUM - c-Fos-c-Jun-SAF-1 complex"
"query_1",TRUE,0.0215249477939733,3,16,1,0.0625,0.333333333333333,"CORUM:6823","CORUM","CP–LF–MPO complex",3383,2396,"CORUM","MPO","MPO","ENSG00000005381","CORUM - CP–LF–MPO complex"
"query_1",TRUE,0.0215249477939733,3,16,1,0.0625,0.333333333333333,"CORUM:2693","CORUM","NFAT-JUN-FOS DNA-protein complex",3383,1131,"CORUM","FOS","FOS","ENSG00000170345","CORUM - NFAT-JUN-FOS DNA-protein complex"
"query_1",TRUE,0.0222727198329761,4,16,1,0.0625,0.25,"CORUM:6806","CORUM","IGF1R-CXCR4-GNAI2-GNB1 complex",3383,2386,"CORUM","CXCR4","CXCR4","ENSG00000121966","CORUM - IGF1R-CXCR4-GNAI2-GNB1 complex"
"query_1",TRUE,0.0222727198329761,4,16,1,0.0625,0.25,"CORUM:2383","CORUM","ITGA5-ITGB1-FN1-TGM2 complex",3383,1015,"CORUM","FN1","FN1","ENSG00000115414","CORUM - ITGA5-ITGB1-FN1-TGM2 complex"
"query_1",TRUE,0.0222727198329761,4,16,1,0.0625,0.25,"CORUM:2850","CORUM","ITGA5-ITGB1-FN-1-NOV complex",3383,1243,"CORUM","FN1","FN1","ENSG00000115414","CORUM - ITGA5-ITGB1-FN-1-NOV complex"
"query_1",TRUE,0.0222727198329761,4,16,1,0.0625,0.25,"CORUM:2754","CORUM","JUND-FOSB-SMAD3-SMAD4 complex",3383,1173,"CORUM","FOSB","FOSB","ENSG00000125740","CORUM - JUND-FOSB-SMAD3-SMAD4 complex"
