"","WT_V_1","WT_V_2","WT_V_3","C08_V_1","C08_V_2","C08_V_3"
"FOS",3068.69000539051,3340.59537555932,3394.09526647986,20937.6859825296,20591.7169650708,21651.5977741098
"HSPA8",26709.7796929365,29895.900991362,29732.5502369092,4915.82219513195,4669.03445264322,4286.7332731142
"ATP1A1",8092.65151864045,8276.75582647841,8633.42828444892,1308.92270388868,1329.6730105707,1164.92201368434
"EGR1",839.224957226408,882.511232015814,973.820777066604,5582.97674629942,6148.47276425232,5994.23709259365
"GPNMB",4945.1199201911,5036.12127007946,5036.49471657804,747.375570257615,684.063131770008,595.379621265861
"EIF3L",7536.38027872525,7659.85477108872,7609.39025800881,1812.58884906229,1913.55529907853,1761.42499272617
"PDIA6",4131.29947628365,4343.05959056758,4202.49451619845,784.947439958066,703.289758254668,770.623434317699
"SYT2",7299.8554995487,7577.98210015737,7391.78217739029,1528.26118646428,1260.86192630981,1310.95852456087
"A2M",42457.9498975911,46898.7603266398,46110.2660963114,12430.1961352221,12056.1067335915,11249.3047685969
"NEAT1",5748.4281516907,5337.90774316362,5724.76642857961,18118.7802990579,17955.645281253,17880.4857201674
"SRA1",3588.16850187825,3982.24863378873,3827.34212381991,13686.3151303426,13710.608538982,13085.9947323132
"DUSP1",1706.48248087374,1916.39170447447,1758.58838002119,7107.1761090123,7469.03842543554,7547.84089676475
"PSAP",206270.631866763,228194.366010493,230263.812112595,69636.9218499409,68153.331249571,65344.5984705922
"FCGBP",342663.083787768,384023.76300349,346465.542510938,112551.105239421,108904.672047663,105904.554329885
"CNOT1",8511.387979553,8401.46884847849,8722.04695981393,2579.25808213905,2489.34216590861,2496.10097821272
"PRKDC",12442.0794023869,11763.9604034729,11860.1327196838,3721.64601222033,3912.11252577345,3862.10403379628
"ABHD2",3221.11708530428,2995.01654360491,2759.9794116458,495.54249767081,483.701445245656,525.731439155515
"IER2",765.639470371483,899.647372443306,882.248145856094,4488.31524529709,4102.35493520061,4630.48075256204
"GNS",6806.65753408057,6569.80583833995,6468.17864969719,1970.99997536689,1946.94891349925,1953.51917241761
"MRC1",1646.91327722928,1674.58172288653,1739.87999299969,196.998451942904,232.743373235358,215.684692986878
"FLNA",5127.3316019271,5883.40821343876,5869.51026500913,1348.52548546483,1191.0389143392,1162.67529813239
"POU2F2",5432.18576175465,5820.57569853796,5639.1017090601,15554.7540559866,15510.827934572,16360.5826492755
"PLXDC2",27125.0120830464,25197.7424908248,24330.7496474376,9060.91333343574,8927.22625514054,9125.0352142313
"SLC31A1",7757.13673929002,7246.68338522587,7151.52710195627,2392.41418957465,2278.86120228707,2279.29292744987
"GOLGA8A",2427.44504851188,2141.06554563491,1986.04298012471,8171.37393187912,8900.91613468785,9041.90673880927
"PECAM1",8990.56966181067,8998.37774003611,9330.561863987,3323.58728458312,3188.5842133244,3222.91345926746
"ARHGEF12",2632.43319046488,2468.55622936031,2489.20012580827,435.630597337659,369.353614047415,481.920485892555
"CCNL2",3882.51044929795,3499.58067841438,3513.23815224838,10773.9875005887,11098.8231201974,11515.5405615025
"RGS1",830.464780219869,723.525929160754,708.949402920076,3307.33998957752,3710.73891153938,3411.63756563098
"CD163",4519.37531767332,4418.26820688823,4663.3116280965,1207.37711010367,996.748794073162,1012.14535615196
"MYO15B",1789.70416243586,2148.68160804713,2116.01703732673,7661.61505107841,7493.3246904688,7268.1248105474
"MIR503HG",1125.68274534022,1173.82561928317,1086.07109919562,4024.25188169963,3850.38493548059,3921.64199592287
"CLTC",20982.3759660615,18965.899422027,19462.6304140531,6934.54859957779,7309.15384729995,6780.58753577497
"MGAT5",4481.7065565452,4843.81569417094,4656.419064457,1205.34619822797,1139.43060114353,973.951191768871
"IQGAP1",20330.618796775,19301.0061681646,19418.3210763706,7569.20856073406,7808.03420819139,7969.10006275475
"FGD5",3095.84655411078,3662.37401247555,3343.87801710636,807.287470590767,794.363252129373,786.350443181326
"CTDSP2",6711.1716047093,7014.3934816532,6765.54353814422,2462.4806492863,2504.52108155439,2438.80973163808
"CX3CR1",22226.32110099,22603.5212316629,23297.849753461,9629.56865863175,9747.89962772261,9617.06592010761
"TSC22D3",928.578762693103,821.582732718067,940.342610817601,3456.61201244147,3445.61385159301,3298.17843025768
"CYBB",69339.4290598558,62254.6461652752,60791.426648448,24539.5081940836,23755.0029856523,24103.8877990596
"SMCR8",3331.49531558667,3658.56598126944,3323.20032618786,962.65222908182,898.591806230424,905.426367434498
"LRP1",12334.3292252065,14020.2188930927,12636.0384551019,4571.58263220079,4599.21144067261,4574.31286376337
"LENG8",4808.4611588891,5326.48364954529,5383.09220245008,14718.0183631982,13885.6720327634,14603.6510876532
"EEF1A1P5",14922.085512938,15481.5508684371,19942.1559129726,3994.80365950198,3797.76469457521,4016.00404910463
"DYNC1H1",10090.8478938319,10542.5343941134,10296.5054254656,4132.90566704958,4131.70083878246,4037.34784684812
"LIPA",12424.5590483738,11312.708705549,11518.4584935542,3701.33689346333,4170.15409175178,4051.95149793577
"ABCC4",12132.8451540561,11598.3110460072,11293.9578492962,4275.06949834859,4482.83975405493,4551.8457082439
"NOTCH2",3383.18035992525,3474.82847557467,3249.35143005035,976.86861221172,1005.85614346063,962.717614009137
"NDRG1",4618.3653178472,5075.15358994208,4694.8204904485,1499.82842020448,1420.7465044454,1535.63007975553
"CMKLR1",4474.69841493997,4850.47974878163,4710.5749216245,1476.47293363393,1280.08855279447,1325.56217564852
"EPB41L2",9067.65921946821,8096.82635198975,8550.71752077492,2899.12670256181,2833.39758721305,3092.60395725456
"PARP4",6734.82408262696,6470.79702698111,6549.9047614227,2448.2642661564,2537.91469597512,2412.9725027907
"TLN1",29748.6850965048,33333.6011626772,31998.2343704079,12774.4356981533,12616.7146847758,11995.2143318431
"HYOU1",4252.18991897389,4857.14380339232,4594.38599170149,1183.00616759527,909.723011037333,1077.30010715842
"SEL1L",5345.46000938992,4725.76672678156,4970.52303602853,1619.65222087078,1506.76035977151,1612.01840852172
"NCOA4",21048.0772936105,20223.5017278446,20319.2776092482,8796.89478959473,9241.93577286314,8782.41109255944
"HADHA",11472.3278077631,11025.2023494878,11747.8823975548,4697.4991684942,4683.20144057928,4810.21799671777
"ARHGAP35",6055.03434691955,6438.42876172918,6180.66028073516,2326.4095536144,2184.7519252832,2338.83088957646
"TLR7",8316.91205000785,7441.84498453897,7807.30529965734,2968.17770633561,2906.25638231281,2936.45722639427
"ALOX5AP",40008.6044065629,43851.3833539508,48219.3905699987,16209.7231358999,15979.3504641719,15238.3482310781
"APBB3",3026.64115575912,3691.8862543229,3636.31964581089,10923.2595234527,10811.4356506372,10425.8835188084
"PLEKHB2",8756.67293573609,8470.96541798998,8387.2652973239,3527.69392809097,3567.04517675929,3384.67697900762
"GLB1",3687.15850205214,3922.27214229251,3913.99149528792,1315.01543951578,1245.68301066402,1200.86946251548
"FKBP11",649.129116184518,532.172361053765,551.405091160059,2453.34154584565,2368.92276845205,2365.79147619982
"TRIP12",11914.7167465933,11828.6969339768,11171.8610076822,4996.0432142221,4924.04023549239,4802.35449228595
"AHSA2P",2276.77000399941,2299.09884068845,2483.29221411727,6490.79435473733,6266.86830628943,6885.05980894049
"WNK1",13164.7940054264,13148.1797468936,12854.6311876689,5543.37396472326,5760.90445142996,5863.92759058074
"CPD",4124.29133467842,3451.02828053649,3467.94416261737,968.74496470892,1003.83228804119,1005.40520949612
"NIN",10153.0451505784,9224.00358899808,9415.24193155801,3752.10969035583,3701.6315621519,3882.3244737638
"KLF13",6607.80151603214,7228.59523699685,7189.92852794777,2538.63984462505,2173.6207204763,2281.53964300182
"USP22",4265.3301844837,4606.76575159064,4605.21716313499,1588.17308679743,1573.54758861296,1606.40161964185
"ZFP36L2",8413.27399707977,8445.26120734875,8144.05626604437,3403.80830367327,3514.4249358539,3548.68721429973
"GOLGA8B",539.626903602784,569.30066531333,551.405091160059,2089.80832009534,2124.03626270007,1995.08341012862
"RALGAPA2",4209.26505164185,4225.96263097972,4127.66096811244,1474.44202175823,1323.60144431238,1476.09211762895
"ATP5F1B",20044.1610086612,21244.0540910819,21978.4161424709,9247.75722600014,8897.8803515587,8576.83661955632
