"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPNMB",2633.61619604535,2.09219936558528,0.0813653099661814,25.7136532320086,8.22453785918772e-146,1.15373817088685e-141
"FOS",11918.5578958578,-1.48985937694771,0.0598474316288803,-24.8942909728603,8.57850116588034e-137,6.01696071774847e-133
"CD207",18886.7805671955,-1.03317852746449,0.0567827460421266,-18.1952899336356,5.62407692584301e-74,2.62981837052419e-70
"MX1",1470.62953952838,-1.4890619213494,0.0859657052809153,-17.3215809314134,3.23350964214688e-67,1.13399183150091e-63
"DUSP1",4840.10127154303,-1.21295555471228,0.0725685601261647,-16.7146151529462,1.02580037838047e-62,2.87798554158425e-59
"EGR1",4057.42652515467,-1.15390237748041,0.0736275810625389,-15.6721484099863,2.34516311676896e-55,5.48299136700582e-52
"CCL22",2410.98444953578,1.30329813626677,0.0893814023876189,14.5813122355675,3.69348275126973e-48,7.40173943354454e-45
"CMKLR1",3831.23989240802,0.92071570329425,0.0686594315477401,13.4098940602801,5.29143578924596e-41,9.27853265644279e-38
"PLA2G7",1449.77363159879,1.44791370571354,0.113503875046652,12.7565134240433,2.86751037189158e-37,4.46949283298834e-34
"FOSB",582.538988232636,-2.16250173521741,0.170458751089486,-12.6863638352141,7.03780293171269e-37,9.87262995260656e-34
"ABCC5",2954.7438306278,0.970826069112148,0.0766735100033233,12.6618185220693,9.62437394188719e-37,1.2273701605163e-33
"HIC1",849.41621904924,-1.75978764673477,0.14156961881202,-12.4305459144554,1.78411769695781e-35,2.08563358774369e-32
"TSC22D3",2122.68149360141,-1.17378493366889,0.0945757273971336,-12.4110590103107,2.27622000832384e-35,2.45621648282822e-32
"COL8A2",1131.1704257738,-1.24446128592046,0.101093182076113,-12.3100416898887,7.99818636011387e-35,8.0141827328341e-32
"SH3PXD2A",2536.1234204805,0.925564283662097,0.0767706054530892,12.0562326973918,1.79821806624823e-33,1.68169353555535e-30
"IFIT3",581.060732183191,-1.58661011722234,0.131694395153145,-12.0476662304216,1.99519176214016e-33,1.74928437745638e-30
"COMT",1277.16849764291,-13.9088727457867,1.18177899905914,-11.7694363809647,5.60980471917805e-32,4.62907885886057e-29
"SLC37A2",7353.94317680233,0.844433449577626,0.0723967584026943,11.663967672152,1.94750929402377e-31,1.51775890980919e-28
"GABRE",941.536751152928,1.26397885466529,0.108466484590358,11.6531743371136,2.21067693211177e-31,1.63217768440337e-28
"TTN",590.505622047935,1.41170916747574,0.125045685110906,11.2895472260691,1.47796045135553e-29,1.03664146058077e-26
"HSPA8",29212.3559343609,0.606055178204559,0.0554046676322571,10.9387025336419,7.52693535740565e-28,5.02799281874697e-25
"IFI6",1546.87337696025,-1.04110790573915,0.0959953153821414,-10.8454032532178,2.09709019479444e-27,1.3371809660262e-24
"FBLN1",3967.54027818201,-0.918705971175289,0.085023147651603,-10.8053629693862,3.24670400855875e-27,1.98020712313314e-24
"MAN1C1",617.249675559775,-1.30858240853347,0.121214438559419,-10.7955984789056,3.61102160644127e-27,2.11064212896492e-24
"NEK9",3854.55117126911,-0.736520352608477,0.0696404478944244,-10.5760427291486,3.84872158834153e-26,2.1595946576502e-23
"CD109",103.096606070179,4.15329312583218,0.395959113527733,10.4891969497282,9.6848005882179e-26,5.22532240967388e-23
"LMNA",212.476392106553,2.51873727649564,0.242144702205201,10.4017855999227,2.43330077228538e-25,1.26423493457849e-22
"RBM3",7205.94241783518,-0.735404207792924,0.0717358928448288,-10.251551610066,1.16458841142085e-24,5.83458794121845e-22
"IFIT1",427.994328088046,-1.55928592436418,0.153053608562565,-10.1878416262677,2.24697408075599e-24,1.08691560016707e-21
"APOE",1724.48433285329,1.22982835388513,0.121276845634521,10.1406690407444,3.64593888765382e-24,1.70484102386693e-21
"C5orf63",79.6581440176926,4.54919469692703,0.449624760126624,10.117758407357,4.60849053932648e-24,2.0854162995378e-21
"UBASH3B",1517.21125041113,0.97186784017432,0.0965570599719163,10.0652178148029,7.8712903804119e-24,3.45057692051306e-21
"ASB2",3282.23568923401,-0.872171961252661,0.0867546191383056,-10.0533201565006,8.88233268793433e-24,3.7757988771619e-21
"TXNRD2",587.590881437577,-11.8261910188641,1.18522729482142,-9.97799415397867,1.9027427830832e-23,7.85049287090915e-21
"FKBP4",1881.78064829788,0.864224336991353,0.0866610736073823,9.9724628488532,2.0117728105917e-23,8.06318542485154e-21
"NRP1",2863.98405981171,0.718526554069726,0.0725102442577406,9.9093109039282,3.79252841856031e-23,1.477821907099e-20
"ARHGEF12",1809.12751087777,0.974424647410648,0.100183936627172,9.72635614267094,2.32782565997769e-22,8.82560496166676e-20
"GSDME",888.447303466016,1.00868420204906,0.104368512454688,9.66464097576349,4.26111375408497e-22,1.57302378269221e-19
"IER2",2049.19960808655,-0.819458172879293,0.0854973284124751,-9.58460560224621,9.2811556470023e-22,3.33836029272175e-19
"TREM2",5271.30970009418,0.745414263593922,0.0779453427504561,9.56329444826978,1.1406664979323e-21,4.00031740824859e-19
