"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPNMB",2633.61619604535,2.09219936558528,0.0813653099661814,25.7136532320086,8.22453785918772e-146,1.15373817088685e-141
"FOSB",582.538988232636,-2.16250173521741,0.170458751089486,-12.6863638352141,7.03780293171269e-37,9.87262995260656e-34
"HIC1",849.41621904924,-1.75978764673477,0.14156961881202,-12.4305459144554,1.78411769695781e-35,2.08563358774369e-32
"IFIT3",581.060732183191,-1.58661011722234,0.131694395153145,-12.0476662304216,1.99519176214016e-33,1.74928437745638e-30
"COMT",1277.16849764291,-13.9088727457867,1.18177899905914,-11.7694363809647,5.60980471917805e-32,4.62907885886057e-29
"CD109",103.096606070179,4.15329312583218,0.395959113527733,10.4891969497282,9.6848005882179e-26,5.22532240967388e-23
"LMNA",212.476392106553,2.51873727649564,0.242144702205201,10.4017855999227,2.43330077228538e-25,1.26423493457849e-22
"IFIT1",427.994328088046,-1.55928592436418,0.153053608562565,-10.1878416262677,2.24697408075599e-24,1.08691560016707e-21
"C5orf63",79.6581440176926,4.54919469692703,0.449624760126624,10.117758407357,4.60849053932648e-24,2.0854162995378e-21
"TXNRD2",587.590881437577,-11.8261910188641,1.18522729482142,-9.97799415397867,1.9027427830832e-23,7.85049287090915e-21
"IFIT2",281.482783110891,-1.59189472087159,0.17473397829439,-9.11039018518528,8.20862151605233e-20,2.35001107402412e-17
"TIMP3",81.6439809508362,3.05617285742899,0.366867838865078,8.3304463724141,8.05381108136113e-17,1.6614538507255e-14
"GLT1D1",80.6068703565161,-9.92319978819069,1.22047049992498,-8.13063469276859,4.27048493672569e-16,8.09545441789027e-14
"CH25H",142.323863520861,-1.93941214292956,0.240701031957904,-8.0573486833606,7.7967014860459e-16,1.43910695324016e-13
"SYNE2",404.167695330308,-1.51003129031919,0.18835749833324,-8.01683662015761,1.0850329089222e-15,1.92668881599502e-13
"SLC15A4",515.389517009655,-5.39512814610896,0.686219888248713,-7.8620981969464,3.7775170586302e-15,6.23423638805464e-13
"SAGE1",58.8352297548299,3.50763383859648,0.446395399688254,7.85768366126999,3.91302013500305e-15,6.38277284346777e-13
"TGM5",153.979259155284,2.1497582048161,0.275455583094675,7.80437332459957,5.97979354002375e-15,9.32050486438369e-13
"TSPYL5",52.1698212642407,-9.29603478329474,1.23427483331839,-7.53157605774236,5.01314963989594e-14,6.76196761042886e-12
"CRLF2",90.7586013442687,2.72834007306757,0.36462550332927,7.48258157522179,7.28766290072235e-14,9.55433038984422e-12
"RAMP1",203.332808141934,1.73759298298833,0.235899539935308,7.36581759958005,1.76064419532553e-13,2.11096724547235e-11
"CLDN1",108.025205876258,-2.25194413008009,0.309683767032957,-7.27175386574407,3.54849731977434e-13,4.01438067756407e-11
"MX2",156.544838692342,-1.66164771533972,0.235334888305077,-7.06077933156107,1.65571350901771e-12,1.60271344361167e-10
"PURPL",112.911889544267,1.98994586894647,0.284438872401295,6.99604049245068,2.63297468975975e-12,2.42995848341774e-10
"CDH20",113.428078200459,-1.91893973385048,0.27939659268899,-6.86815725053077,6.50365100666053e-12,5.56300099520938e-10
"TRDN",164.057184686723,1.70011216452124,0.276273638799166,6.15372560303199,7.56835861843196e-10,4.57624718531739e-08
"SPINK5",44.0253038581165,2.97050034337182,0.484702214549188,6.12850582111457,8.87081841288009e-10,5.27287460575771e-08
"EPAS1",150.592189472391,1.52809571816687,0.252378382958038,6.05478052540237,1.40609239310814e-09,7.98569396377369e-08
"H3-2",20.1019103827127,-7.91972970560234,1.31803592407265,-6.00873584775356,1.86975472305903e-09,1.04497686275187e-07
"YPEL3-DT",73.324510315915,-2.38099662280948,0.396627536063024,-6.00310469223482,1.93579708216382e-09,1.07759370907119e-07
"TTN-AS1",98.733886866591,1.73240667298048,0.289317132766326,5.98791594682262,2.12546848176091e-09,1.17468936393573e-07
"NRP2",82.8744667532756,1.89945557120313,0.320417541097535,5.92806362815491,3.06527731161045e-09,1.6412103102012e-07
"CD2",50.4230104123793,-2.62161305814385,0.449415490982434,-5.83338383021228,5.43144271402564e-09,2.76058979682434e-07
"MIR124-1HG",119.213413177263,1.54362300254563,0.265623707187261,5.81131488183543,6.19840496226382e-09,3.11653135521996e-07
"SSXP10",78.1354830887536,-1.85272895156172,0.324235555096481,-5.7141449246996,1.10257006321562e-08,5.18154408395566e-07
"LRP5",152.007672341202,1.51997788530223,0.271875225969256,5.59071860955109,2.26131786281149e-08,1.01347498337123e-06
"PLAU",102.276773971189,1.73148963281265,0.310303928809613,5.57997972972815,2.40546615748411e-08,1.0611282785279e-06
"SYNPO",38.1971045698247,2.68630492957462,0.490326837516673,5.47860064764102,4.28702709102729e-08,1.81139807328105e-06
"AATK",60.9193198663152,2.2631546997734,0.41441301432203,5.46110913885239,4.73169036025445e-08,1.96379149034466e-06
