"","WT_10_1","WT_10_2","WT_10_3","C08_10_1","C08_10_2","C08_10_3"
"GPNMB",975.216874959691,954.50365939479,1070.12992397574,4065.3708034733,4388.70833561633,4347.76757885225
"FOS",17622.8939118915,17831.0862823141,17282.254336971,6448.81420803488,5956.97513133134,6369.32350460394
"CD207",25266.7700649029,25855.9874187074,25002.1264056151,12618.7330284578,11900.8188421244,12676.2476433653
"MX1",2160.9122121409,2184.98089773049,2159.91329008144,752.846445087649,787.885232297012,777.23915983281
"DUSP1",6900.18558649536,6841.17975234091,6547.54424559264,2966.89939950451,3092.44953676577,2692.34910855899
"EGR1",5558.97005222826,5858.16642570016,5380.12978307365,2653.78371893396,2529.67437083933,2363.83480015268
"CCL22",1426.57624394583,1463.11612306274,1283.3697710857,3646.17221473132,3525.78641452913,3120.88592985996
"CMKLR1",2690.61634206505,2700.43568153747,2555.93014899992,5055.19277729877,4849.24601306613,5136.0183914808
"PLA2G7",761.230438367816,664.845440175821,905.04101008417,1980.49945497489,2108.53095500438,2278.49449098568
"FOSB",920.258609824072,978.451779881397,958.105303835033,212.165816342883,275.759831303954,150.492588208478
"ABCC5",1865.07304024066,2098.31150930276,2025.28721149129,3870.31513360969,4057.60894632961,3811.86714279279
"HIC1",1437.10016705691,1319.4274001431,1179.20652779696,475.66207212356,363.927940632429,321.173206542484
"TSC22D3",2871.86168453357,2898.86296556936,3054.14490699414,1442.38534820202,1330.96326741602,1137.87078889337
"COL8A2",1600.80563767364,1638.73567329786,1533.95115824255,734.025283960458,650.005316645035,629.499484823268
"SH3PXD2A",1757.49515954966,1792.68787642606,1699.04007213413,3497.31394036171,3216.26007326959,3253.94340114185
"IFIT3",910.904011503116,864.413110897551,840.184651055337,270.340314372383,272.007996864445,328.514308406312
"COMT",2468.44463194233,2495.16607736655,2699.40027654855,0,0,0
"SLC37A2",5304.0572479822,5441.92528390912,5039.14256211903,10195.0807796699,9399.28322958138,8744.16995755236
"GABRE",563.614548837615,541.683677673268,555.20974017107,1213.10938537987,1428.51096284327,1347.09219201247
"TTN",325.07229165323,311.325566325899,331.160499889647,806.743406497333,867.61171413659,901.120253784911
"HSPA8",22811.1880056518,23896.8030855649,22788.1661496763,35089.4883996761,34439.9642374782,36248.5257281177
"IFI6",2163.25086172114,2032.16908129213,2050.83668626022,1051.41850115082,1084.28015301827,899.284978318954
"FBLN1",5132.16650383463,5595.87748703732,4842.60814081953,2978.87650203999,2771.6676921877,2484.04534317287
"MAN1C1",926.10523377467,840.464990410944,871.630158463256,338.780900289442,369.555692291694,356.961078128646
"NEK9",4688.99240837933,4881.99541919844,4880.93235297293,2741.90097330218,2966.7630830422,2966.72279071957
