"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC15A4",489.258508026099,-6.10966071812647,0.267366879221486,-22.8512250130475,1.42097228541288e-115,2.11852758032207e-111
"FOSB",1229.50406777766,-2.54313947854627,0.118677138396611,-21.4290596563532,7.16118434046935e-102,5.33830486660287e-98
"CNOT1",7547.69635012294,1.25984402603625,0.0633118620051303,19.8990202804991,4.14960264978097e-88,2.06221419685282e-84
"FOS",19037.7817493553,-1.10549978615496,0.062110480639718,-17.798924992508,7.20384366092391e-71,2.68505262851786e-67
"NEAT1",9838.61709144724,-1.02636059846761,0.0633878507969146,-16.1917557633547,5.76595620705442e-59,1.71929282181949e-55
"DYNC1H1",9219.25938527614,1.04331591824246,0.0650116171501787,16.0481459157119,5.88973610690257e-58,1.46350126029684e-54
"SYT2",5966.18464273913,1.04862359092173,0.0666884561005427,15.724214537832,1.03222959868395e-55,1.92368888584738e-52
"PRKDC",9668.55136952851,1.00727051899328,0.0649503261958037,15.5083211738875,3.04743001106235e-54,5.04823711499206e-51
"ATP1A1",7100.16042050876,1.08338078228982,0.0706626272971377,15.3317365024397,4.69271663280553e-53,6.99637122784976e-50
"CD163",2910.14892942591,1.33089674048658,0.0879713408296948,15.1287536137829,1.04658857524645e-51,1.41850809712267e-48
"GAS7",5120.52425947144,1.11081856186137,0.0735503526081933,15.1028312233764,1.55126945634991e-51,1.92732302706007e-48
"EIF3C",1684.55510962686,1.7255597300054,0.116902549497075,14.7606680729283,2.62665957284887e-49,3.01237442858491e-46
"ABHD2",2082.80244237582,1.22591692439177,0.0835545306520566,14.6720580538812,9.73470144553124e-49,1.03667617036732e-45
"CD93",3661.60198040365,1.13881712176074,0.0788335602381827,14.445841572041,2.66284789086384e-47,2.48127495030556e-44
"MGAT5",3442.64110914917,1.0469314970945,0.0751070901822579,13.93918329886,3.66105494562459e-44,3.21074518731276e-41
"MALAT1",100359.564835174,-1.05085995279705,0.0773097074314219,-13.5928590045334,4.41491730966593e-42,3.46431590367418e-39
"SMCR8",2772.01280328794,1.03532515464688,0.0769872374322734,13.4480102050378,3.16268712852346e-41,2.35762511995782e-38
"RALGAPA2",2723.50277735978,1.00017654234757,0.0758155320207711,13.1922379977965,9.72545205033704e-40,6.5907620281125e-37
"PTPRG",715.624762878349,1.55527590178732,0.119490718375865,13.015872052046,9.94009949555223e-39,6.17487264079951e-36
"TBC1D14",1474.39608109539,1.16991573052162,0.0898810940792641,13.0162604550619,9.8896826076455e-39,6.17487264079951e-36
"EGR1",5700.11238171749,-1.09864600023537,0.0848523239005179,-12.9477420267645,2.41966813119016e-38,1.38943926484817e-35
"IGF2R",5019.90424136231,1.0638863295642,0.0821683941824743,12.9476344298708,2.423061297609e-38,1.38943926484817e-35
"LRBA",2953.66495196435,1.05198208363935,0.0816249831845137,12.8879914285721,5.25958562061149e-38,2.90426525991469e-35
"ITGA4",3345.48071269767,1.0193988300497,0.081696730310383,12.4778412327738,9.86244355104136e-36,4.45573245159017e-33
"ANAPC1",2245.4201936819,1.06122968986531,0.0852102206824221,12.454253508162,1.32586240118749e-35,5.81390662920714e-33
"GOLGA8B",1471.67218614459,-1.23421912688463,0.101604135725552,-12.1473315832187,5.92685746792827e-34,2.32535573656165e-31
"COMT",1224.07189540303,-11.8435996027614,1.02687627174583,-11.5336189262857,8.93089389211586e-31,2.89458037038164e-28
"CERS6",1062.81326191989,1.18090983448853,0.113691713726859,10.3869472609554,2.84307458779078e-25,5.9700562013201e-23
"FKBP11",1229.12050600209,-1.00814381069977,0.0971734171432652,-10.3746872379041,3.23269187202351e-25,6.6939170999998e-23
"TXNRD2",468.57833079603,-12.3036364623354,1.1885756089285,-10.3515808080793,4.11632255259481e-25,8.18270039155148e-23
"CENATAC",1475.48328520352,-1.03892410104885,0.101599336292932,-10.2256977157156,1.52128467319976e-24,2.76595526740674e-22
"GIPR",1198.71024812498,-1.00728076909798,0.100880795581147,-9.98486147234768,1.77548908961113e-23,2.94119631522359e-21
"GPNMB",1122.12297409339,1.10324165519201,0.111491595801078,9.89528984014549,4.36344612932045e-23,6.98480826457127e-21
"FTX",1878.37075600692,-1.21471465825397,0.122879584843142,-9.88540659381766,4.81622637893869e-23,7.55843358774705e-21
"PTGS2",617.102624216628,-1.36417302691508,0.140718097612596,-9.6943680312586,3.18603939754665e-22,4.43931414747879e-20
"NFATC3",760.92798503997,1.15678909167352,0.119435781698487,9.68544832396884,3.47679745625216e-22,4.79298740916634e-20
"XACT",1411.92682666853,-1.40173409766582,0.147371907272815,-9.51154208156466,1.87856789723773e-21,2.31467510577829e-19
"MCM2",1480.64656898126,1.02192513958353,0.107689466641038,9.48955521332386,2.3202215232065e-21,2.83542481061358e-19
"MRC1",709.900097448969,1.21864479521373,0.12963295164548,9.40073322210907,5.41841496350365e-21,6.41136100721237e-19
"USP37",605.39169413886,1.21506202296898,0.134143466040512,9.05792923676225,1.32950459502754e-19,1.39588619769476e-17
"PCDHGC3",607.6381945039,1.19635969454684,0.133250281593137,8.9782901787763,2.7500698237366e-19,2.77032371635736e-17
"REC8",397.139180298,-1.33613472791908,0.148917033446308,-8.97234316986867,2.90272419178149e-19,2.9044775151188e-17
