"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCL22",2064.62297478411,-2.32356210896004,0.116971822475394,-19.8642891919448,8.2917600493939e-88,1.1956717991226e-83
"GPNMB",2971.2817571799,-1.36077183536446,0.0894184550260684,-15.2180199822033,2.68535995892372e-52,1.936144530384e-48
"MX1",1466.75494642573,1.47809543846159,0.0998853564142694,14.7979192498575,1.51084470216888e-49,7.2621268684251e-46
"FOS",9705.85384238499,1.06583096121928,0.0754428569186472,14.1276590621244,2.56530925633687e-45,9.24793986909441e-42
"DUSP1",4732.71475303068,1.16088168314666,0.0830836938097684,13.9724370681527,2.29632294004986e-44,6.62259535910379e-41
"BIRC3",297.677282617242,-2.90152064423492,0.211871421751439,-13.6947239993456,1.09174401292609e-42,2.62382477773238e-39
"CD207",17253.184406354,0.82851231525241,0.0687678163568894,12.0479660274891,1.98794951857865e-33,4.09517600827203e-30
"GABRE",924.330111230057,-1.37060710562853,0.117636079751269,-11.6512477169127,2.26123506102662e-31,4.07587619750048e-28
"LMNA",214.077782523981,-2.48412366263464,0.213989083176706,-11.6086466924265,3.72463775869443e-31,5.96769738670819e-28
"PHLDA1",497.15491761169,-1.58700300905858,0.141295035976562,-11.2318383875979,2.84496727047049e-29,4.10244280401845e-26
"IL7R",691.361741592761,-1.65691582819803,0.147693139783288,-11.2186377148542,3.30319530297458e-29,4.33018875171759e-26
"LAMP3",894.462071659308,-1.82389384182986,0.162689072689354,-11.2109179287811,3.60435841057431e-29,4.33123735670679e-26
"PLA2G7",1515.5561812463,-1.23513880748324,0.112703445981995,-10.9591929219321,6.00323399634269e-28,6.65897186363551e-25
"OAS3",3551.99667833524,0.836260737776447,0.0785887934200503,10.6409667509044,1.9212546824411e-26,1.97889232291433e-23
"COL8A2",1079.01480995828,1.14073639969681,0.11195813640086,10.1889548751729,2.22139411616387e-24,2.13550021033887e-21
"AHNAK",111.901471270304,-3.71488045960655,0.365324648867951,-10.1687101352674,2.73506456046024e-24,2.46497693511479e-21
"SLC37A2",7350.31962960792,-0.857476830485675,0.0880218088359652,-9.74164064366869,2.00294106249093e-22,1.69896530124231e-19
"COL1A1",79.3791002432269,-4.36774606528975,0.457356940178148,-9.54997220243,1.29731093393151e-21,1.03929020373846e-18
"TIMP3",75.4415635415275,-4.87170210508226,0.510746142320647,-9.53840215600455,1.45049850909844e-21,1.10085202637892e-18
"ARHGEF12",1807.08005490697,-0.989567834628616,0.10593679391821,-9.34111556550059,9.53243896516163e-21,6.87288849388154e-18
"IL1RN",474.78691428269,-1.32339814095962,0.142634404188125,-9.27825336735832,1.72279434722278e-20,1.18298545175964e-17
"COL6A2",68.0464715227694,-4.94972845522697,0.535318376215317,-9.24632643889676,2.32340783850031e-20,1.52288822868975e-17
"ABCC5",3140.23500884018,-0.735060132413319,0.0807455001652617,-9.10341914916464,8.75318468611061e-20,5.48786622494413e-17
"HIC1",727.279297203619,1.45662309884119,0.161598006724602,9.01386798244111,1.98914110764033e-19,1.1951422821739e-16
"LGALS3",361.963807235036,-1.56819305079629,0.175011622515626,-8.96050804086613,3.23185880413271e-19,1.86413615822375e-16
"CYP1B1",1329.73289876682,-1.05079483079236,0.118655330588715,-8.85585860811126,8.3042089490155e-19,4.60564204018475e-16
"POU2F2",9559.23664762655,0.644313034313426,0.0729719643274428,8.82959695893945,1.0505358378235e-18,5.61063954867219e-16
"IFIT3",500.83881391775,1.289298761273,0.146581863557104,8.79575910679239,1.42084118368877e-18,7.31733209599716e-16
"EPSTI1",1114.8980810068,0.906378126894789,0.103468495948076,8.75994300090763,1.95349129810317e-18,9.71356707539578e-16
"MTARC1",1719.63268557613,-0.861105268203543,0.0985791326307959,-8.73516783139696,2.43294627997445e-18,1.16943617857438e-15
"FLNA",5846.79628773444,-0.856863894859545,0.0984817508086248,-8.70073783034838,3.29733231894513e-18,1.53379135610287e-15
"TPR",6784.12178528858,0.683895590642693,0.0786889518427684,8.69112594115134,3.58864950525113e-18,1.61713518330379e-15
"IFIT1",396.138081226373,1.40195210290182,0.16169493279603,8.67035273560677,4.30783771663372e-18,1.88239454163207e-15
"CMKLR1",4096.48021280919,-0.66703868669554,0.0782539001248296,-8.52403120651481,1.5409408268004e-17,6.53540197719466e-15
"MAN1A1",227.602414985855,-1.6781334120628,0.197518663811482,-8.49607515401411,1.96109048724948e-17,8.07969280746786e-15
"HBB",165.055373249137,-8.83849427089439,1.05281084649584,-8.39513983002006,4.6534011913886e-17,1.86394569943955e-14
"JAK3",655.75674166239,1.08782348758587,0.130602877876571,8.32924591917447,8.13589073104264e-17,3.17079849571986e-14
"CD109",108.623662829646,-3.17253460890322,0.381116076779596,-8.32432637245564,8.48096400212957e-17,3.21830265554496e-14
"SERPINA1",1320.08474056338,0.960780397685686,0.115954036785166,8.2858727847981,1.17246056297077e-16,4.33509777385601e-14
"CH25H",148.84504699357,2.01399879129672,0.244030351652823,8.25306679130632,1.54380714021249e-16,5.56542474046603e-14
"TSC22D3",1895.99782734599,0.925631831632473,0.112275310309032,8.24430437185809,1.66123800170684e-16,5.84269560600307e-14
"RGS16",9650.65835862222,0.646656586685037,0.0785270968321561,8.23482100792802,1.79826297760651e-16,6.17403622311569e-14
"CRLF2",91.1255001171779,-2.73044835058193,0.334288945297972,-8.167928939882,3.13728609845538e-16,1.05208524510992e-13
"TUBB",20578.7024951509,0.556704562276257,0.0682064316219285,8.1620537688014,3.29375508940772e-16,1.07945337248317e-13
"GIMAP8",1151.3166928907,-0.959533961557657,0.119106794096949,-8.05608083764416,7.87795444379339e-16,2.52444673510002e-13
"HBA2",90.270434841142,-9.80785490344757,1.21837031023649,-8.04997858290211,8.28085258468343e-16,2.5958672667638e-13
"FKBP4",1968.36420880269,-0.697514698876751,0.0873126373578021,-7.98870266646942,1.36366144332262e-15,4.18382936440684e-13
"MAN1C1",548.786040249048,1.05817021773735,0.132888071757345,7.96286832778772,1.68096312383646e-15,5.04989338452537e-13
"COL6A1",121.482540416807,-2.67188434252109,0.337473441707994,-7.91731737169703,2.42689714341021e-15,7.14201159346432e-13
"CCR7",720.408704713638,-1.15694802890336,0.147145301086656,-7.862623001614,3.76171880354487e-15,1.08487970294234e-12
"ACP5",1067.03198275255,-0.913932662999891,0.117009037201205,-7.8107869687734,5.68320032448178e-15,1.6068970329221e-12
"SH3PXD2A",2679.60915462593,-0.715450282940929,0.0921059577042233,-7.76768735458384,7.99320583471402e-15,2.21657746416493e-12
"TGM5",159.630868747263,-1.89800529255408,0.24637317758395,-7.70378216966151,1.32096952457504e-14,3.59403406497586e-12
"CENPF",4483.67124861523,0.748786503564943,0.0982848324278046,7.61853568926789,2.56569554063516e-14,6.85135735110353e-12
"CLDN1",112.961844133999,2.32574138801242,0.305925262877902,7.60231883478236,2.90871017442607e-14,7.6261092209498e-12
"SYNE2",388.772209461651,1.42932561549748,0.188548403660839,7.58068266686865,3.43741421383617e-14,8.85134160062813e-12
"OAS2",828.813497487831,1.12340474563378,0.149004952922971,7.53937854813813,4.72216359253959e-14,1.19462454393721e-11
"RBM3",6880.97480156809,0.621312930132258,0.0831775296096639,7.46972088553194,8.036510097314e-14,1.99804268281496e-11
"HRH2",2173.22544660659,0.732441457275106,0.0981411164149954,7.46314576428839,8.44807975638789e-14,2.06476796757819e-11
"RGS1",2062.7650582699,0.900148363989661,0.120852935509435,7.44829540296427,9.45539206278476e-14,2.2724458924226e-11
"IER2",2100.31298970458,0.868045545069263,0.116711032039444,7.43756207018971,1.02560398016254e-13,2.42446055638423e-11
"BIN1",2954.10906230637,0.73042886460303,0.100157481060502,7.29280386116942,3.03569885659362e-13,7.06044798581936e-11
"NEAT1",8600.16114669927,-0.527842998620457,0.0724015651849928,-7.29049154216168,3.08826195363141e-13,7.06868847164523e-11
"TREM2",5423.3732038239,-0.648726008111433,0.0909769376199787,-7.13066437585795,9.9885609233008e-13,2.25054763303121e-10
"MX2",166.513659238561,1.77023835496195,0.249150041289926,7.10510961907485,1.20227075151161e-12,2.66719142104575e-10
"TBCK",671.84373080104,-1.05182513794771,0.148147852583034,-7.09983384577364,1.24906966642868e-12,2.72902796816691e-10
"NFKBIZ",3725.03134649834,0.56597533370533,0.0798961416424099,7.08388818371804,1.40165018375506e-12,3.01668591787283e-10
"MIR223HG",2258.13646282956,-0.730978275512688,0.103603437959995,-7.05554072245119,1.7193082085504e-12,3.64594475989659e-10
"NHS",322.985067069526,-1.21389007218807,0.172239834549495,-7.04767323635139,1.81934254702945e-12,3.80216225045866e-10
"EIF5B",4634.44134267476,0.671323140232581,0.0953475966312322,7.04079771228005,1.91142336899035e-12,3.93753214012012e-10
