"","C08_10_1","C08_10_2","C08_10_3","C08_100_1","C08_100_2","C08_100_3"
"CCL22",3659.85091059652,3535.96825665344,3124.5460834981,584.3263472516,788.608595918437,694.437654786569
"GPNMB",4080.6221321339,4401.38214229354,4352.86661088327,1755.75274277023,1537.52212828393,1699.5447867145
"MX1",755.670765209982,790.160504280097,778.150700594793,2012.78237020053,2254.67960980707,2209.08572846192
"FOS",6473.00707744641,5974.17781271774,6376.79340357551,12733.1367948561,13755.6626898793,12922.3452758349
"DUSP1",2978.02978835025,3101.37997929938,2695.5066771489,6399.85280961325,6621.13660063063,6600.38266314169
"BIRC3",452.543742347341,560.637691132069,562.252926521857,82.2864634578993,76.7437895356868,51.5990827085996
"CD207",12666.0724850537,11935.1862836975,12691.1142597597,22052.772206717,22034.7297782378,22139.2314246585
"GABRE",1217.66039212245,1432.63624764118,1348.67205250668,514.98382186573,533.237020394514,498.791132849796
"LMNA",366.672064482571,379.088908601047,343.599010652246,58.247721324131,64.8352704698044,72.0237196140869
"PHLDA1",738.496429637028,723.373128323089,777.231986662567,260.727895450872,231.554537392158,251.545528204423
"IL7R",879.325981335251,1181.47808735215,1090.51343755138,367.05310104254,303.005651787453,326.794190487797
"LAMP3",1224.53012635163,1454.27159478218,1509.4469906461,514.98382186573,328.145858704316,335.394037605897
"PLA2G7",1987.92934256944,2114.62001621626,2281.16669371531,874.64038686711,813.7488028353,1021.23184527437
"OAS3",2607.06413997444,2537.92028636631,2505.33289317828,4468.43233586548,4670.78581139611,4522.4446032308
"COL8A2",736.778996079732,651.88241603108,630.237757506526,1430.30515695922,1563.98550398589,1460.89902918722
"AHNAK",155.427736935235,207.887466007026,260.914756751973,12.9439380720291,10.5853502807844,23.6495795747748
"SLC37A2",10233.3278511447,9426.42668260816,8754.42506017447,4876.16638513439,5607.58931124553,5203.98248734022
"COL1A1",108.198314109611,159.91343539002,185.580214309502,5.54740203086962,10.5853502807844,6.44988533857494
"TIMP3",113.350614781497,185.311451599023,139.644517698239,7.39653604115949,2.6463375701961,4.29992355904996
"ARHGEF12",2354.60140705201,2355.43083656829,2504.41417924605,1366.51003360422,1087.6447413506,1173.87913162064
"IL1RN",704.147758491119,657.526419633081,673.417312321113,256.105060425147,267.280094589806,290.244840235873
"COL6A2",120.220349010679,128.871415579016,146.994229156041,7.39653604115949,2.6463375701961,2.14996177952498
"ABCC5",3884.83470660222,4069.3265970425,3816.33767446372,2368.74066718133,2339.36241205335,2362.80799569795
"HIC1",477.446528928125,364.978899596045,321.54987627884,891.282592959719,1182.91289387766,1125.50499158133
"LGALS3",506.642899402147,594.501712744073,523.666941368396,171.044895951813,158.780254211766,217.146139732023
"CYP1B1",1555.99480290964,1798.55581450422,2027.60164842114,869.09298483624,817.718309190594,909.433832739067
"POU2F2",7799.72450045712,7455.72875824292,7122.78911654242,11713.3393881812,11508.9220927828,11754.9160295528
"IFIT3",271.354502052675,272.793507430034,328.899587736642,724.86053203363,658.938054978828,748.186699274694
"EPSTI1",783.149702126708,756.296482668093,788.25655384927,1519.06358945313,1429.02228790589,1413.59987003768
"MTARC1",2066.07256942638,2293.34679694628,2294.02868876647,1223.20214780675,1288.7663966855,1152.37951382539
"FLNA",8292.6279314009,7412.45806396091,6892.19191955388,3764.83684495018,4616.53589120709,4102.12707533366
"TPR",4869.78285171114,5495.37817381468,5253.20626446402,8549.47109657523,8134.8416907828,8402.05063438363
"IFIT1",198.36357586762,201.302795138025,252.646331361946,548.268234050947,608.657641145102,567.589909794595
"CMKLR1",5074.1574450293,4863.2497703906,5142.04187866476,3123.1873433796,3269.55006797728,3106.6947714136
"MAN1A1",353.791312802855,317.945536246039,368.404286822328,101.702370565943,109.823009163138,113.947974314824
"HBB",251.604016143778,317.945536246039,418.933553094717,1.84913401028987,0,0
"JAK3",437.086840331683,444.935617291055,376.672712212355,851.526211738486,877.260904520006,947.058163880754
"CD109",148.558002706053,200.362127871025,237.946908446342,12.9439380720291,13.2316878509805,38.6993120314497
"SERPINA1",890.489299457672,803.329846018099,993.129760735503,1581.93414580299,1873.60699969884,1778.01839166716
"CH25H",63.5450416199303,56.440036020007,56.9602637979659,204.329308137031,252.725237953727,259.07039443276
"TSC22D3",1447.79648880003,1334.80685187316,1139.20527595932,2391.85484230995,2734.98987879767,2327.33362633579
"RGS16",7839.22547227491,7536.62614320493,7191.69266145931,11279.7174627682,12578.042471142,11478.6459408839
"CRLF2",145.123135591462,170.260775327021,159.856224207195,19.4159071080437,19.8475317764707,32.2494266928747
"TUBB",17074.724426631,16368.551113069,16525.8262128679,24329.0561733839,25211.6580312582,23962.3990136957
"GIMAP8",1435.77445389897,1470.26293832118,1656.44121980214,852.450778743631,807.13295890981,685.837807668469
"HBA2",221.548928891108,133.574751914016,186.498928241727,0,0,0
"FKBP4",2486.84379096376,2389.29485818029,2429.07963680358,1496.87398132965,1503.11973987138,1504.97324566749
"MAN1C1",340.051844344492,370.622903198046,357.379719635625,733.181635079935,781.992751992947,709.487387243244
"COL6A1",162.297471164417,202.243462405025,264.589612480874,17.5667730977538,37.0487259827454,45.1491973700246
"CCR7",1056.22163773668,1108.10604052614,818.574113612704,439.169327443845,496.188294411768,404.192814550696
"ACP5",1456.38365658651,1375.25554435417,1347.75333857445,663.839109694064,832.273165826673,726.687081479444
"SH3PXD2A",3510.43419111182,3225.5480585434,3257.75960367076,2023.87717426227,1878.89967483923,2181.13622532809
"TGM5",264.484767823494,221.056807745027,270.101896074226,63.7951233550006,55.573088974118,82.7735285117118
"CENPF",2955.70315210541,3467.29954616243,3616.05803723861,6054.98931669419,5164.32776823768,5643.64967125308
"CLDN1",24.9027865807835,35.7453561460044,52.3666941368396,207.103009152466,175.98144841804,181.671770369861
"SYNE2",193.211275195734,162.73543719102,275.614179667577,571.382409179571,578.224759087847,551.465196448158
"OAS2",415.61892086549,555.934354797069,594.407914149741,1224.1267148119,983.11440732785,1199.67867297494
"RBM3",5075.87487858659,5374.03209637166,5817.29661885033,8551.32023058552,7855.65307712711,8611.67190788731
"HRH2",1728.59687541783,1665.92172985721,1503.01599312052,2527.76619206626,2908.32498964551,2705.72689953219
"RGS1",1186.74658809113,1589.7276812302,1543.43940613843,2986.35142661815,2514.02069168629,2556.3045558552
"IER2",1594.63705794879,1502.24562539919,1361.53404755783,2266.11372961024,2999.62363581728,2877.72384189419
"BIN1",2449.91896948191,2222.79675192127,1990.85309113213,3448.63492919061,3962.89051136866,3649.56012074366
"NEAT1",9743.00057053688,10482.7960234493,10243.6603443116,7084.95696042565,6933.40443391377,7113.1485475584
"TREM2",7067.23908827062,6358.91072492078,6437.42852310238,3897.04992668591,4672.10898018121,4107.50197978248
"MX2",78.1432268569413,88.4227230980109,59.7164055946417,206.178442147321,269.926432160002,296.694725574447
"TBCK",785.725852462651,960.421279607118,975.674196023223,478.001141659932,362.548247116865,468.691667936446
"NFKBIZ",2966.00775344918,2989.44057452637,3056.56125251343,4664.4405409562,4342.6399526918,4331.09800485307
"MIR223HG",2734.1542232143,2881.26383882136,2843.41962023717,1899.0606285677,1480.62587052472,1710.29459561212
"NHS",401.020735628479,467.511631699058,485.999670147161,208.027576157611,195.828980194511,179.521808590336
"EIF5B",3143.76212662925,3646.96699415945,3936.68919958523,5866.37764764462,5397.20547441494,5815.64661361507
