"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPNMB",3208.2480948987,-2.66161517981797,0.0751206464123739,-35.4312070906188,5.64913980151677e-275,8.49743608944153e-271
"FOS",9499.76201721918,2.08850200003253,0.0624830923273671,33.4250742439293,5.92726509401105e-245,4.45789607720571e-241
"EGR1",2947.01842928117,2.30106568996268,0.0808156742368524,28.4730123418729,2.52932605177766e-178,1.26820408236132e-174
"CD207",14022.2824544036,1.92692075116569,0.0695642439118459,27.6998734235873,7.00671235638096e-169,2.63487418161706e-165
"FOSB",436.383079001096,4.41078068274705,0.199352684297015,22.1255143782034,1.79578380884504e-108,5.40243601052942e-105
"DUSP1",3951.83280500077,1.5754779925142,0.0718856068370573,21.9164595227711,1.80998832760449e-106,4.53764073730445e-103
"CCL22",696.297090507888,2.79655221044061,0.142951035249045,19.5630077499511,3.19653986637514e-85,6.86890752428784e-82
"CMKLR1",3748.57594879145,-1.16005116784252,0.0693906985729171,-16.7176753037515,9.74469032289849e-63,1.83224539796299e-59
"NRP1",3128.60845980991,-1.20347913622091,0.0721809591482982,-16.6730831845601,2.0570479073436e-62,3.43801273580693e-59
"TSC22D3",1783.40413233159,1.37462532235026,0.0870765770397347,15.786395941161,3.86014095840173e-56,5.80642402962788e-53
"MX1",1260.31472027133,1.60813373278104,0.103041301000819,15.6066908818267,6.55497688765034e-55,8.96363294036695e-52
"CD3G",1134.50829809824,1.61946660357153,0.10575284416236,15.3136931342026,6.19444407442432e-53,7.76473564729089e-50
"SH3PXD2A",2447.54112878456,-1.1357993617182,0.0748299642646936,-15.1784031020057,4.91604867519261e-52,5.68824647478824e-49
"GYPC",673.192784310125,-2.04190425340574,0.138920546968231,-14.6983603071523,6.60395059866091e-49,7.0954732075041e-46
"TRDN",283.883648915645,-2.88615091213905,0.196521808377559,-14.6861609709705,7.90682788629813e-49,7.92896700437976e-46
"ABCC5",2767.87404713387,-1.11679613527072,0.0764946687815456,-14.5996597287071,2.82250575228895e-48,2.65350822037065e-45
"CTSL",2987.81455401967,-1.12158895669302,0.07704303652586,-14.5579536745874,5.19909193665215e-48,4.6002788771248e-45
"APOB",578.968471703599,-1.89324190826577,0.131008554712188,-14.4512845930178,2.46053587661032e-47,2.05618781422069e-44
"PLA2G7",1368.43535254684,-1.59513324438508,0.111268702953393,-14.3358662592951,1.30606622209999e-46,1.03399200593832e-43
"ARHGEF12",1933.9906891748,-1.39064782376854,0.097779521562435,-14.2222809188177,6.66447846595448e-46,5.01235425424436e-43
"IER2",1614.673931691,1.28487654001356,0.0910925600722085,14.1051754281036,3.52910581778462e-45,2.52784808148172e-42
"FUCA1",9397.95495905887,-0.790802893376009,0.0567616985878556,-13.9319807731265,4.04966590113709e-44,2.76886702204109e-41
"SDS",1293.44325535111,-1.30748575784125,0.0938804723874438,-13.9271322841801,4.33410989109868e-44,2.83450786877854e-41
"ADAMDEC1",949.547838130024,-1.43433034050273,0.10845942994005,-13.2245793777041,6.32902983665055e-40,3.96671945012073e-37
"DAB2",5672.17670904787,-0.80701076621254,0.0612075519493719,-13.1848234492381,1.07304906646964e-39,6.45632162313456e-37
"LMNA",256.020537582099,-3.04628104631011,0.231189068992674,-13.1765790639809,1.19696532435673e-39,6.92490477268231e-37
"SERPINB9",2633.60031585127,0.951076649647326,0.0729282562597785,13.0412640919246,7.12655874651882e-39,3.97028506167171e-36
"BASP1",1101.04457337418,1.22158838240908,0.0949147592824196,12.8703732869851,6.6082009112439e-38,3.55001993239038e-35
"PLXND1",1207.13410148613,-1.62531200682146,0.12846217697535,-12.6520665077421,1.08970343383134e-36,5.65217898334172e-34
"MAN1C1",500.118719013468,1.73926487887257,0.138122379697028,12.5922018045711,2.33079867042614e-36,1.16866245335167e-33
"CD163",3908.01721331053,-0.843336436565122,0.0669984751374903,-12.587397471875,2.47706280921344e-36,1.20193479923189e-33
"RGS1",1457.10551371302,1.31601047477913,0.106871871846802,12.3139087211423,7.62394494249742e-35,3.5837306195327e-32
"S100A8",1544.05554618219,-1.2991873835361,0.106092999065872,-12.2457409534577,1.77052659613995e-34,8.07038213913245e-32
"TDRD6",677.07966841198,-1.68140690061031,0.137729475190719,-12.2080396972544,2.81592182226812e-34,1.24579694266344e-31
"HIC1",767.952937979904,1.5661747186364,0.130619715891971,11.9903393445726,3.9926613080331e-33,1.71593175415525e-30
"LAMP3",390.071253492384,2.41194665100068,0.201765977392948,11.9541792038769,6.17405705668468e-33,2.57972684018475e-30
"APOE",1662.73151205994,-1.42529780482319,0.119296016940414,-11.9475724452318,6.6849455299864e-33,2.71770136924474e-30
"IFIT3",508.656323068198,1.58294193120241,0.132995802484364,11.9021946680498,1.15275099438236e-32,4.56307380460512e-30
"MRC1",1396.72625149311,-1.01179518746829,0.0864262334795341,-11.7070378603029,1.17306595092534e-31,4.52442513687665e-29
"GABRE",806.667665408395,-1.22109411182282,0.104770870970667,-11.6549008375114,2.1663246706212e-31,8.14646392387101e-29
"S100A9",9983.00864004093,-1.04393690301504,0.089644445975683,-11.6453048669431,2.42453085445723e-31,8.89507149091357e-29
"ASB2",2777.97894526259,1.01349826793556,0.0871646265279329,11.6274033206667,2.9905677836111e-31,1.07105049050186e-28
"CD83",1541.79478310641,1.02710888838416,0.0885034774150927,11.605294146431,3.87353375492849e-31,1.35501615678219e-28
"SEL1L3",701.956992449184,1.46177058562185,0.127502063209104,11.4646818163604,1.98487741298696e-30,6.78557410139769e-28
"SLC37A2",6487.6192939289,-0.862458994878318,0.0755590997776466,-11.4143630273037,3.54491422647901e-30,1.18494666210438e-27
"LYZ",1740.6859576228,-1.17744450546552,0.105082669615035,-11.2049352169965,3.8563579089503e-29,1.26102903622675e-26
"CCR1",3048.63160728552,-0.824177459214664,0.0739069178164008,-11.1515604163345,7.03615103204048e-29,2.25186774093517e-26
"ADGRE4P",1356.88606990521,1.08942506773878,0.0979414095240873,11.1232324818733,9.67035265926121e-29,3.03044676459598e-26
"RNASE1",263.174943030943,-2.09261223151213,0.190177615424395,-11.0034623519825,3.67735635425702e-28,1.12887335266804e-25
"CLEC10A",1465.89291207992,1.00898646115688,0.092999095332723,10.8494223255294,2.00689702744947e-27,5.91916570331273e-25
"IFI6",1366.27495194911,1.00100626137232,0.0922547406385936,10.8504587888198,1.98426829217363e-27,5.91916570331273e-25
"PMP22",437.258354176684,-1.60879137426998,0.1488595565604,-10.8074443552249,3.17389199660278e-27,9.18109296401905e-25
"HLA-DRA",31854.7852817968,0.667067344062832,0.0619760627823094,10.7633062527044,5.1296092541198e-27,1.45584117736736e-24
"SERPINA1",1044.18434257833,1.30836162501745,0.121651321007493,10.7550137078812,5.61256745434076e-27,1.56341184533692e-24
"GSDME",840.998477917209,-1.17495464507,0.110026314437604,-10.6788512464108,1.27843825017582e-26,3.49641239257177e-24
"SLC7A8",1977.11397543678,-0.837814701387674,0.0788877422307329,-10.6203407233688,2.39684656261261e-26,6.43810107050336e-24
"SCARB2",2425.29325118981,-0.898032924383738,0.0851634461823149,-10.5448166395388,5.36774590675763e-26,1.41651989349909e-23
"TACSTD2",5958.62864400022,-0.803444721275978,0.0763627763261299,-10.521418417851,6.88294992696202e-26,1.78505746209246e-23
"HSPA8",26064.5312675414,-0.652261945464459,0.0620110832740327,-10.5184736506223,7.10146569640693e-26,1.81051266110768e-23
"PSTPIP2",4629.85495994766,0.762203999572534,0.0725907952126279,10.5000089520984,8.63719348986883e-26,2.16534440791012e-23
"POU2F2",7932.29236240408,0.627867201709261,0.0598495125534837,10.4907655036986,9.52535011967498e-26,2.34885764754346e-23
"COL8A2",1044.6900858343,0.997840278609596,0.095344269398284,10.4656555124597,1.24213785604052e-25,3.01358671460669e-23
"IGFBP4",1183.74333445562,-1.04299968980605,0.100459727619329,-10.3822667502969,2.98599806778622e-25,7.12942586280004e-23
"CD109",94.566657674968,-4.2263699675052,0.411238158930216,-10.2771833686338,8.92991764145931e-25,2.09880970566923e-22
"NFKBIZ",3254.877924681,0.693559241944663,0.0675537191436825,10.2667810260677,9.94683287359345e-25,2.30185015514758e-22
"UBASH3B",1316.02179695412,-0.953083276064236,0.0930797245049221,-10.2394294905099,1.32012498650819e-24,3.00868485561458e-22
"EPAS1",203.256977079395,-2.32124842523812,0.226735895681041,-10.2376750636058,1.34427850549854e-24,3.01800556413568e-22
"IGFBP3",199.721854904718,-2.6329594061177,0.26000010002695,-10.126763050648,4.20334236272183e-24,9.2980405617738e-22
"ST14",4321.65514088162,-0.917040977795561,0.0907790091337246,-10.1019055676703,5.41790222519146e-24,1.18110268509174e-21
"MTUS1",3623.95493923845,0.709471743778162,0.0703346466654345,10.0870876220215,6.30112904516358e-24,1.35402261567644e-21
"OLFML3",14169.1395332721,-0.623123141027346,0.0619010382662373,-10.0664408623856,7.7740542108025e-24,1.64700455547734e-21
"P2RX1",924.786592424017,1.20687604203096,0.119908956068219,10.0649366119437,7.89381665985468e-24,1.64914986385464e-21
"INPP4B",1137.90310659916,-1.16137010240912,0.115539566186225,-10.0517090443047,9.02877938944052e-24,1.83528242670222e-21
"RNF213",10825.077608988,-0.554158640531892,0.0551264943340067,-10.0524919501373,8.95731863743077e-24,1.83528242670222e-21
"LRP1",11678.290096207,-0.681936478695117,0.0679802157820932,-10.031396206229,1.10936650523345e-23,2.22494546289621e-21
"CXCL16",1993.28716237341,0.836833810769397,0.084227452740934,9.93540447368536,2.91988523241566e-23,5.77906758763111e-21
"ANXA6",2465.38832522406,-0.747336487999756,0.0753447534856861,-9.9188922045081,3.44559030284895e-23,6.73098303057843e-21
"SLC16A7",635.970105496393,-1.32193007352416,0.13452831759229,-9.82640753399212,8.66549280782091e-23,1.67110695916977e-20
"PXDN",970.226136742272,1.03346787842016,0.105371957224389,9.80780755755921,1.04208019175674e-22,1.98417344865885e-20
"NPL",2008.21167055353,-0.931599283521257,0.0955145084818691,-9.75348455777372,1.78242821236888e-22,3.35141064630658e-20
"ACP5",1126.92097563004,-1.10444333102107,0.114338509445508,-9.65941690491807,4.48408906254295e-22,8.22556922911843e-20
"VSIG4",7953.11018617299,-0.63451384145166,0.0656833062112622,-9.66019949438636,4.44996547727733e-22,8.22556922911843e-20
"KCNA5",391.771521921928,1.5017035282533,0.156722018089539,9.58195629790415,9.52238965939299e-22,1.72573235248903e-19
"EPSTI1",928.125605956434,1.0974408007736,0.114588707124646,9.57721601291686,9.96959929947418e-22,1.78527038884155e-19
"SERPINF1",5458.7103807538,-0.725159203686491,0.0765533835487014,-9.4725950711919,2.72976121331897e-21,4.83071390244047e-19
"DTX4",559.567444024667,1.22327548890898,0.12979071470973,9.42498461191745,4.30168639559475e-21,7.43746744396968e-19
"OAS3",2838.13052826234,0.655128515913362,0.0695042021529911,9.42573967644874,4.27084617039617e-21,7.43746744396968e-19
"GNG12",445.30726307612,-1.39261997013531,0.148033399954906,-9.4074713582173,5.08215841417637e-21,8.68702578023192e-19
"SH3PXD2B",1028.86625495221,-1.00101849367955,0.106711158809111,-9.38063558535814,6.55762220013917e-21,1.10831183297184e-18
"CD1C",9293.93740272067,0.530818501254378,0.0566669394673368,9.36734022066508,7.43833026136636e-21,1.24319293101636e-18
"TREM2",4704.56553522374,-0.79039932375965,0.0843988666877994,-9.3650466502521,7.60167037435403e-21,1.25653105242894e-18
"SP140",783.751494640575,-1.01262777832714,0.108421695795796,-9.33971536687966,9.65934363882668e-21,1.57930268494816e-18
"SDSL",651.980145668041,-1.18828314091351,0.128664556766213,-9.23551264450125,2.57052122033016e-20,4.15761077378562e-18
"PLEK",9333.01937761656,0.513996504168462,0.0557276100282726,9.22337247026552,2.87899677240968e-20,4.60700738836025e-18
"FKBP4",1624.46846839187,-0.833507400236642,0.0907812512417397,-9.18149275137341,4.25156221424074e-20,6.73178935016938e-18
"LRRC4",644.357852845096,-1.30016074919443,0.142103880277574,-9.14936838216383,5.7267389498995e-20,8.97308409212377e-18
"RBM3",6399.03330752855,0.679273800628618,0.0742883830377964,9.1437418994975,6.03279509424791e-20,9.35518595955433e-18
"HLA-DRB1",3259.7633828173,0.718667083779974,0.0790169161847009,9.09510416858208,9.44958422302648e-20,1.45041475390576e-17
"HBB",179.424344207832,10.8773284662022,1.19612620248508,9.09379666092366,9.56396407320136e-20,1.45314290494035e-17
"DENND5A",3344.84820869243,0.643470141759745,0.0708536833683743,9.08167523788834,1.06916376126902e-19,1.60823612970086e-17
"PLD3",8441.05932945006,-0.760895334233334,0.0839241265712809,-9.06646712119271,1.2293848286503e-19,1.8309313457978e-17
"LYN",13253.812182788,0.532196224838471,0.0588631219885652,9.04125039344424,1.54889789684355e-19,2.28416883963928e-17
"ABCA1",518.676388456226,-1.42351158821993,0.157796790282438,-9.02116947798501,1.86091938339811e-19,2.71766498690042e-17
"GNPDA1",4126.05028528278,-0.64865324295903,0.0719788665894467,-9.01171793463797,2.02853506691927e-19,2.93396389198074e-17
"HLA-DPB1",8745.65320065979,0.601610234629517,0.066846528767944,8.99987247981105,2.25980007428417e-19,3.23732502070309e-17
"SLC36A1",1611.40650670992,-0.753728394398213,0.0839503925972253,-8.97825931576554,2.75084119909605e-19,3.9035993695097e-17
"KCNAB2",4686.90880159673,-0.634260133617095,0.0707203791842575,-8.96856239931307,3.00409538945439e-19,4.22314045310028e-17
"TBC1D8",3226.66901122633,0.596347248971069,0.0666496297498421,8.94749530056439,3.63639446764137e-19,5.06468940576495e-17
"HIP1",1325.01829272869,0.774181628622151,0.0866319222877325,8.93644753778919,4.0188178942185e-19,5.54596869402152e-17
"MPDZ",429.273511169693,-1.48428531990989,0.166660702035235,-8.90603064660129,5.28923124611049e-19,7.232783309454e-17
"CD36",2485.39655837494,-0.827564969347859,0.0929766827226528,-8.90077969136053,5.54557351600764e-19,7.51500151601684e-17
"EPB41L2",7925.44580688188,-0.576817079617788,0.0652779234207358,-8.8363270366312,9.891693714718e-19,1.32848979336418e-16
"ETS2",5525.99817780986,0.579863366225974,0.065908459420659,8.79801123138096,1.3926210366359e-18,1.85378810912188e-16
"LINC02035",780.821508841901,0.946955789232016,0.107799783173403,8.78439419222926,1.57209478573117e-18,2.07433769885686e-16
"HERC1",9151.79649024752,-0.490742015325146,0.0560848900305232,-8.74998622727206,2.13378788084144e-18,2.7909945481406e-16
