"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3"
"GPNMB",5474.79999302057,5578.68470628813,5570.99041400374,853.530022056492,834.975761112243,936.507672910996
"FOS",3397.38252888415,3700.49236944519,3754.29207371865,15423.9220172822,15598.1851860825,15124.2979279024
"EGR1",929.115747265492,977.58803832308,1077.16706147599,4865.32580918053,5124.57644544037,4708.33747400157
"CD207",5255.61402341514,6021.60485310117,6244.08368396548,22114.0008592286,22618.1665850632,21880.2247216478
"FOSB",28.1256332679533,34.8008686781679,55.5465319871341,805.429409302709,855.924973756636,838.471057013977
"DUSP1",1889.26667606804,2122.85298936824,1945.21776723572,6039.18544383136,5984.49174541499,5729.98220808629
"CCL22",145.477413454931,214.078070959639,166.639595961402,1248.56909701309,1279.89713441697,1123.12123124129
"CMKLR1",4953.99085285191,5373.0432095535,5210.48252993038,2354.8831903501,2362.27312104396,2236.78278901883
"NRP1",4526.28725729442,4324.79886209596,4235.69535094048,1920.95425827342,1956.25742836453,1807.65760189065
"TSC22D3",1028.04038841485,910.095444522997,1040.13604015124,2513.51287070833,2535.85231152607,2672.78773866609
"MX1",538.266429783244,669.6530791102,661.112645415498,1891.27515678705,1911.36625841225,1890.21475211972
"CD3G",600.336792857348,490.37587682873,580.515716649852,1686.59169826031,1645.01198336211,1804.2177206311
"SH3PXD2A",3292.6387911966,3295.53680664469,3503.78810593354,1538.19619082843,1568.198203666,1486.88867443812
"GYPC",905.839361112703,1189.55696572647,1154.49654718357,249.713819402619,289.298650803525,250.251361631864
"TRDN",569.301611320296,450.30214925993,481.403277221829,58.3347856801199,64.8428010421694,79.117268969524
"ABCC5",3714.5232902159,3718.42008967333,3934.00144191232,1632.35058175072,1835.55006027064,1772.39881898032
"CTSL",3942.43790462863,3927.22530174234,4412.13727607608,1939.37576954083,1883.4339748864,1822.27709724371
"APOB",961.120778225577,882.676578291713,894.190250224257,227.198638964678,233.43408375181,275.190500763562
"PLA2G7",2037.65363779207,1966.77636620555,2166.31474749823,666.244657504528,581.590046270535,792.032660010126
"ARHGEF12",2914.39751621378,2734.5046206815,2753.36535026422,1010.11286782945,962.666200087592,1228.89757997228
"IER2",847.648395730731,996.570330329353,975.876326675924,2353.85977305747,2232.58751895962,2281.5012453929
"FUCA1",11869.9870884993,12143.3940251243,11719.2291015993,6837.45093208564,7035.94270385263,6781.72590319203
"SDS",1718.57317761425,1864.4829037273,1945.21776723572,717.415522136212,752.176492089165,762.793669303998
"ADAMDEC1",1453.80428512628,1350.90644777979,1352.72142603962,504.544725268406,566.626322953111,468.683821612941
"DAB2",7204.04151428818,7284.98184329648,7167.68092171234,4063.99006904836,4045.19320347688,4267.17270246498
"LMNA",429.643294403563,512.521884169382,429.124188292761,54.2411165095852,34.915354407322,75.6773877099795
"SERPINB9",1872.77923587648,1775.89887436469,1737.19055920547,3526.69599041567,3483.55478829624,3405.48244694908
"BASP1",682.773993815142,666.489363775822,632.79480557892,1583.22655170431,1528.29494148621,1512.6877838847
"PLXND1",1737.00031665188,2071.17897224005,1659.86107349789,640.659225188686,659.401407521138,474.703613817144
"MAN1C1",210.457324798133,223.569216962776,258.12800158727,810.546495765877,735.217605662752,762.793669303998
"CD163",5003.45317342659,4894.26762228416,5158.20344100131,2904.45827649439,2732.37587776157,2755.34488889516
"RGS1",919.417253035164,801.474551375988,784.186333936011,1916.86058910289,1965.23566235498,2355.45869247311
"S100A8",1903.81441741353,2266.27475119342,2416.81871528334,925.16923254085,938.724242779714,813.53191788228
"TDRD6",1225.88967071355,928.023164751144,943.201896095257,306.001770497471,316.233352774888,343.128155639566
"HIC1",326.839255562078,417.610424138015,419.321859118561,1257.7798526468,1154.20185855062,1031.96437786336
"LAMP3",92.1356951881229,178.222630503345,100.201587114046,674.431995845597,669.377223066087,626.058389237103
"APOE",2086.14610894371,2663.84831154703,2518.10945008341,994.76160843994,969.649270969056,743.874322376503
"IFIT3",275.437236141336,236.224078300291,251.593115471137,797.242070961639,756.166818307145,735.274619227642
"MRC1",1823.3169153018,1854.99175772416,1924.52396120129,912.888225029245,911.789540808351,952.847108893833
"GABRE",1158.00021110125,1111.51865414512,1117.46552585882,493.287135049435,473.851238385084,485.883227910664
"S100A9",11136.7809246865,14610.0374141618,14589.1332542679,6498.69980822389,6698.76013843335,6364.64030047225
"ASB2",1624.49778358006,1934.08464108363,1963.73327789809,3796.87815567096,3835.70107703294,3512.97873630984
"CD83",991.186110339596,1044.02606034504,1010.72905262864,1947.5631078819,2054.02042070503,2203.24394673827
"SEL1L3",371.45232902159,339.572112556669,410.608677630383,1053.09639412006,1120.28408569779,916.728355668615
"SLC37A2",7507.60438369747,8820.43835224837,8785.06523545536,4642.22083938639,4760.45917804973,4409.92777473608
"LYZ",2207.37728682282,2458.20681481241,2576.92342512861,936.42682275982,1222.03740425627,1043.14399195688
"CCR1",3710.64389252377,3828.09555459847,4151.83097911677,2189.08958894345,2166.74713636295,2245.38249216769
"ADGRE4P",906.809210535736,763.509967363441,932.310419235035,1865.6897244712,1839.54038648862,1833.45671133723
"RNASE1",361.753834791262,485.103017938098,432.391631350828,105.411981141269,93.7726661225219,100.616526841677
"CLEC10A",884.50267380598,1028.20748367314,1007.46160957057,2004.87447626939,1998.15585365331,1872.15537550711
"IFI6",840.859449769501,955.442030982428,935.577862293102,1893.32199137231,1777.69033010994,1794.75804716735
"PMP22",660.467457085387,619.033633760138,697.054519054232,183.191695381429,226.451012870345,237.351806908572
"HLA-DRA",23251.1700677901,24691.7436130492,25914.0908935271,39080.2127365098,40818.0444652684,37373.4499146363
"SERPINA1",493.653356323732,654.889074216432,654.577759299364,1414.36269841975,1620.07244449974,1427.55072271098
"GSDME",1073.62331129739,1234.9035521859,1188.26012545026,542.411165095852,515.74966367387,491.043049799981
"SLC7A8",2411.04566565972,2560.50027729066,2635.73740017381,1412.31586383448,1421.55371515525,1421.53093050677
