"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3","WT_100_1","WT_100_2","WT_100_3","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3","C08_100_1","C08_100_2","C08_100_3"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",-0.17100772591653,-0.372229658767898,-0.265574142492228,0.0827251959057846,-0.0855636201859244,0.500357308141372,-0.0529933261523605,-0.357860123753384,-0.0508290564801606,-0.334764526970565,-0.384130928643744,-0.441019308042645,0.4190749599382,0.389787753524407,0.326220121592882,0.503013039720311,-0.30308942626819,0.381604724423358
"GOBP_REPRODUCTION",0.0785354681996017,-0.00296681785118644,-0.0474584634551819,0.0554021977875674,0.01210396317998,0.166170018636491,-0.0282684869818848,-0.0830685195555913,-0.0699898825064718,-0.173947277269194,-0.132967155357788,-0.177548559393984,0.0687315077539322,0.0774163698289649,0.103380417220836,0.154413996613505,-0.0965095739580567,0.0644983499140215
"GOBP_SINGLE_STRAND_BREAK_REPAIR",0.466680096745254,-0.36060849554218,-0.0844646026619235,-0.210233222456163,-0.189004669064713,0.306474224027794,-0.222070553941006,-0.271536502286219,-0.0936571909983974,-0.637618545056964,-0.238698369631638,-0.412507051312442,0.320852370309081,0.250115368032989,0.604824456486662,0.411227334663553,-0.185875961715272,0.323025451817763
"GOBP_REGULATION_OF_DNA_RECOMBINATION",-0.00296932037860564,-0.16457871307037,-0.292164749301281,0.0804688738634466,0.0854668925918049,0.381809166271881,-0.0100796234653907,-0.246734207518371,0.0973245053746294,-0.35525145600288,-0.341431181392676,-0.399435948570638,0.290959425972535,0.146531443213284,0.163176994847775,0.449833777499442,-0.303376191215521,0.321473184653261
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",-0.17234535794803,-0.143916116146722,-0.04563304357579,-0.0376810392147392,0.227085010551724,0.194699088894689,-0.429076975263906,-0.217694175216323,0.207099935567905,-0.607195067482801,-0.279826361812412,-0.434969179935099,0.191526603447194,0.470191126336473,0.0915374887097313,0.543733054079877,-0.294530033171319,0.380750899974502
"GOBP_MITOTIC_SPINDLE_ELONGATION",-0.0511299441881471,0.303451418118021,0.221276749884497,-0.150744064472975,-0.448389862131833,0.377850253736996,-0.268886394865316,-0.26086927703522,-0.0754267796724133,-0.39571575570603,-0.388731601757483,-0.342616491460773,0.22664898875537,-0.666926136746396,-0.112851020070232,0.65842016223866,0.298498568926419,0.477117009934604
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-0.507971420538418,-0.461252818944768,-0.515211853772122,-0.212596181891387,0.142558581208406,0.512159366287922,0.0928852104368318,0.251441891428896,0.472331132466682,-0.233247902264762,-0.255284307342066,-0.494534670495519,0.557136254099214,-0.200014908875166,-0.072345017509253,0.402475872366974,-0.0740116734956663,0.478049530972428
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-0.546218257283291,0.167728067578596,0.32838719486738,-0.134576496760269,0.427604172070362,0.501553444710705,-0.0798774866865565,-0.319999281834182,0.203131545698107,-0.21118505045259,-0.287522724209695,-0.583465402060893,0.648524125445814,0.196007952568201,-0.296268721684083,-0.0251868377902662,-0.100686313728285,0.077111462298687
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.124645484463181,-0.148445096605555,0.322146282913238,-0.0559046657987552,-0.0300354758565819,0.259013143766098,-0.00382909233897447,-0.255348048933754,-0.141434499713245,-0.438044222642049,-0.348961607212188,-0.37377204157539,0.373498046482171,0.33626449251907,0.166018311876078,0.190073713381246,-0.0259034892704679,0.027667189515161
"GOBP_TRANSITION_METAL_ION_TRANSPORT",0.0370569934581829,0.090333524623704,0.144323549116451,-0.0194488240525607,-0.0563607198673605,0.167255777388103,-0.195344131862709,-0.249195756804388,-0.175209699713728,-0.18701142499978,-0.223423327106422,-0.203732973487125,0.329559832839236,0.32676552548288,0.0894714733487696,0.0932412863803961,-0.110275202496295,-0.0553355191372964
