"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FOS",14288.2945185307,2.76633930639558,0.0667252541398223,41.4586552281799,0,0
"GPNMB",3147.300913687,-3.0371216858756,0.0873628444015417,-34.7644551488757,8.38266773526364e-265,7.57583596574451e-261
"EGR1",4226.92945982115,2.887153677448,0.0846082774100805,34.1237732976705,3.27593743573409e-255,1.97375230502979e-251
"FOSB",1025.29094583017,5.66470645050756,0.183775846566766,30.8239986719341,1.24996758307762e-208,5.648291016032e-205
"CD207",14775.2490134293,1.99940180125064,0.0750298107675328,26.6480986796761,1.88283843246535e-156,6.80646093336223e-153
"DUSP1",5308.26607699645,2.09794309877916,0.0801938184408485,26.160907904973,7.40595496896722e-151,2.23104393440138e-147
"ARHGEF12",1739.13990280849,-2.14372735741394,0.0933169390743727,-22.972542591709,8.77250391053279e-117,2.265185831184e-113
"IER2",2435.28826465511,2.04255526032837,0.0922007289320848,22.1533526251503,9.68377048350873e-109,2.18792689361775e-105
"HSPA8",22034.1723873306,-1.44888276071479,0.0681474216178726,-21.2610063054065,2.60764768633059e-100,5.23702577004727e-97
"TSC22D3",2415.31640135633,1.92776289986059,0.091720048195196,21.0179010782678,4.49892888730569e-98,8.13181396380504e-95
"CD163",3334.06933307192,-1.67969163211418,0.0805390801934281,-20.855609824201,1.35559167973454e-96,2.22748360101834e-93
"NRP1",2922.98819328545,-1.62848400033669,0.0784760120797812,-20.7513602842245,1.19171679209284e-95,1.79502341808984e-92
"RGS1",2025.3833239491,1.92138059221546,0.094144823683261,20.4087757249375,1.39741248707612e-92,1.942940823377e-89
"SH3PXD2A",2240.25026475407,-1.66450178075273,0.0832361638411049,-19.9973389442864,5.80903848472211e-89,7.49988361509658e-86
"CMKLR1",3488.62974110055,-1.59723588337165,0.0812778182335253,-19.6515595286099,5.60635683593731e-86,6.75565998730446e-83
"MRC1",1149.91854811698,-2.20763358703633,0.113358430904023,-19.4748072060512,1.79599181244076e-84,2.02890950061667e-81
"RALGAPA2",3217.06258122251,-1.43153848138083,0.0739826546298311,-19.3496501111439,2.05230601007272e-83,2.18208418423909e-80
"APOB",517.159201591777,-3.06739887074321,0.159348899541055,-19.2495767437221,1.42320880566333e-82,1.42913884235359e-79
"LRP1",9733.33923689255,-1.57189158397949,0.0853628021713529,-18.4142453620976,1.00987063653808e-75,9.60705881864515e-73
"CCL22",693.882472388836,2.77076194821224,0.150715805279272,18.3840171445728,1.76407863053347e-75,1.59428606234463e-72
"CNOT1",6920.11083708285,-1.16804808070909,0.0649165572777925,-17.9930687899969,2.20785439862097e-72,1.90033182167019e-69
"MALAT1",88362.6527146051,1.46667351586476,0.0816688995280644,17.9587765274192,4.09739863379897e-72,3.36638546845075e-69
"HERC1",7789.50369510793,-1.18829941269825,0.0662411260682585,-17.9389977681503,5.85007348579818e-72,4.59739470677401e-69
"SYT2",6023.67948668305,-1.15854673648938,0.0659990964488593,-17.5539787485894,5.54554631228485e-69,4.17648956643953e-66
"PLXND1",1112.82073154318,-2.27974999763809,0.13331700009919,-17.1002197464834,1.47845803520486e-65,1.06892515945311e-62
"GOLGA8B",1300.32979917039,1.67502977558498,0.0994714122401927,16.8393082782448,1.25697234841685e-63,8.7383750760133e-61
"MGAT5",3688.02733647451,-1.27881017359013,0.0760415728917545,-16.8172504191953,1.82431287450681e-63,1.22127611876706e-60
"PRKDC",9816.87047950745,-1.12992287969725,0.0678272663210281,-16.6588297153138,2.61083160292043e-62,1.68538504367095e-59
"ABHD2",2274.97743166629,-1.48817027238574,0.0906512337204695,-16.4164370556129,1.45885452809417e-60,9.09268813631108e-58
"GNS",5365.7699277267,-1.1606794547592,0.0708688899022626,-16.3778416221833,2.75341747249443e-60,1.65893402717789e-57
"ADGRE4P",1784.63591083178,1.61458297821996,0.1000489955784,16.1379229135264,1.38111412572736e-58,8.05278639436196e-56
"CTSL",2899.59528169239,-1.32516545794917,0.0831647188840076,-15.9342263850782,3.66710963576139e-57,2.0713439583246e-54
"MYCBP2",7371.72894323398,-1.07467881344982,0.0675652787092322,-15.9057852491767,5.77743326074917e-57,3.16445776327398e-54
"DYNC1H1",8664.60354651282,-1.00110240532241,0.064243560611327,-15.5829221761084,9.51057956193214e-55,5.0559919288801e-52
"MX1",1325.81357936217,1.68110454783032,0.108154693610249,15.5435191179813,1.76045013109826e-54,9.09146746274318e-52
"PLA2G7",1342.51758571318,-1.78906953175254,0.115388714350534,-15.5047184798126,3.22326333317247e-54,1.61834679853034e-51
"ATP1A1",6852.3745940714,-1.09792376792223,0.0717377815860665,-15.304679677124,7.11514285221182e-53,3.47584343388456e-50
"HUWE1",9237.83400716897,-1.04445846538655,0.0688437857625512,-15.1714269315314,5.46751214953976e-52,2.53398159238285e-49
"IGF2R",5245.55279966053,-1.24498279111141,0.0822423064783159,-15.1379848696202,9.09583129896732e-52,4.11017876822086e-49
"NEAT1",9466.15673483527,1.010062224001,0.067692921229972,14.9212385231468,2.39781048972541e-50,1.05708352687285e-47
"LYZ",1675.6689210166,-1.42983436271167,0.0962361175887355,-14.857564899096,6.21432369046141e-50,2.67437858821643e-47
"FGD5",2600.31350152373,-1.40282407477244,0.0946055101109249,-14.8281434466938,9.63613240557969e-50,4.0505370518803e-47
"CCNL2",6328.42706588862,1.07617849027727,0.0731392304838856,14.7141073697019,5.23322104592742e-49,2.14978341829859e-46
"LRRC37A6P",1164.09865957191,-1.51690368670804,0.103854580806119,-14.6060354289029,2.57047079882015e-48,1.0324724375261e-45
"PDIA6",3474.58325841996,-1.09783253941216,0.0752713377601086,-14.5850010386553,3.49916661417733e-48,1.37494427285337e-45
"SGPL1",3338.9300035832,-1.08948693647833,0.0747237025657929,-14.5802054645118,3.75385239592169e-48,1.44363578843159e-45
"EPB41L2",6989.76180455043,-1.13644510778367,0.0779709813634812,-14.5752315529524,4.03751321791011e-48,1.52037607111928e-45
"HYOU1",3634.05717267512,-1.25213402293132,0.0865468988674643,-14.4676936934368,1.93864199416405e-47,7.15121511112554e-45
"MKI67",8025.23608989389,-1.04587069997893,0.0728764975626993,-14.3512755820779,1.04595560065997e-46,3.78112949638579e-44
"ASCC3",2849.9527895626,-1.16587988345577,0.081340002246064,-14.3334134652324,1.35303354024272e-46,4.7953100470367e-44
"ABCC5",2747.39099443103,-1.20952248983469,0.0846045485406504,-14.2961875064382,2.31129286892558e-46,8.03396511650574e-44
"BIRC6",5762.07521722353,-1.11223158452376,0.078055168745273,-14.249300877863,4.52791454710096e-46,1.54418972526132e-43
"HERC2",6109.76850318059,-1.07180055100511,0.0752949510933305,-14.2346935012493,5.58070698302761e-46,1.86798664293007e-43
"NOTCH2",2728.93689747404,-1.16723810388787,0.0822256487282526,-14.1955475200381,9.76209990434254e-46,3.20818101401803e-43
