"","WT_10_1","WT_10_2","WT_10_3","WT_100_1","WT_100_2","WT_100_3"
"CNOT1",9649.52615608103,9768.63156373779,10069.7342113827,4433.28890741927,4451.30088599915,4432.64973600373
"NEAT1",6086.93966226339,6472.19068044381,6536.41435849059,13577.3616271657,12919.3709048404,13028.2823039197
"SYT2",8033.8969584909,8264.71568161099,7826.05336786023,3887.76991347065,3859.91376828784,3897.0613014887
"DYNC1H1",11918.0983493572,11610.4824870682,11694.0609185296,5870.9587560547,6026.21353280742,6141.47647200009
"PPP1R16B",22306.9070708018,23241.9547282485,22320.3953229548,12739.1944229217,12854.721058639,12530.147606084
"ATP1A1",9325.75276979042,9445.38935041256,9147.5240876163,4496.74337372927,4327.30036131775,4809.05978963142
"A2M",49920.4599429066,51211.8515702313,48924.4293864815,28469.2724966937,29100.9094589916,29721.412741916
"ABHD2",2938.78310289773,2954.30789126793,3063.12001661281,1212.26443099694,1232.58641200405,1291.21757202136
"PRKDC",12297.9924559382,11725.9261346844,12627.1847715714,6632.41235177465,6133.25672078026,6472.00569819556
"MALAT1",68304.3128164872,66278.2970718449,73377.5493053261,145453.737169485,130180.414078134,129794.988118948
"XACT",785.690084065204,731.492930804173,748.499932800578,2085.47365394942,1947.97405439677,2103.96365796375
"MYCBP2",9080.76424083053,9156.78023137217,9405.81568046607,5000.59077786237,5079.78217776046,4750.07015436141
"HSPA8",21053.9040658571,21992.0148708772,21090.7818245995,12641.6450194899,11978.2387175149,12291.380034753
"PRKCA",11019.0875800903,11066.8478555667,10779.12661428,6189.1781691914,6289.05225179023,6248.2196215363
"LRBA",3924.13344184214,3917.73760501001,3982.60170806043,1907.42231564674,1997.78623097819,1853.02362221195
"PSAP",219619.804899402,225370.13836396,215889.935660189,132564.903855862,139413.683915949,138416.83830254
"SMCR8",3578.77516313216,3813.83832215547,3764.32712255357,1843.02076775003,1783.69985503252,1816.50622894956
"FOS",16265.2956826191,16409.7897647834,15994.9797304541,25515.3250277254,25960.6226672736,26366.4942788612
"ARHGAP35",6860.75805549794,7057.80482016938,6852.00303003591,3628.26955871037,3927.74311512211,3835.26263596774
"LRP10",8156.93084528133,8596.35379658103,8077.97861863272,4774.23827863716,4832.84096194194,4802.50538571253
"ARRB1",6151.69433952151,6231.85799586109,5923.42656419218,3185.98245771383,3187.97930121082,3480.38848093068
"RALGAPA2",3465.45447793045,3454.91352683979,3667.92251395471,1834.49703346959,1812.31536072823,1790.288613274
"CD93",4218.7672233666,4337.53268725057,4213.60897772184,2360.12731409716,2255.32578223957,2235.05173634155
"EEF1A1P5",17016.4499388133,16556.7180435676,16641.6181900182,10040.0119007801,10604.6944441208,9703.32683020841
"MGAT5",4341.80111015703,4072.01229773341,4431.88356322869,2294.77868461374,2146.16292717816,2283.74159402473
"PLXDC2",26960.6098764188,26007.3548325082,27159.7247791296,17500.1735593449,16711.455326294,16597.6234094639
"IGF2R",6240.19239844095,6214.01670486586,6078.0377289262,2989.93656926354,3509.10886512933,3229.44844517889
"SLC31A1",8108.36483733774,8054.81814049071,8125.27144549254,5004.37910420924,4963.20048788906,4839.9591223919
"TRIP12",13161.3881527131,13178.4171192367,13426.6154409902,8403.45491893424,7650.93835619712,8023.52674013856
"GAS7",6162.4867857312,5841.44856937737,5825.2030007141,3034.44940383921,3249.44964677938,3422.33518907766
"CBL",10076.9070259846,10180.0307443335,10402.6029542807,6227.06143266005,6496.77962647019,6014.13376729023
"FOSB",849.365516702356,900.460451405997,886.740503621584,1861.01531789764,2194.9152702153,2226.62464558869
"DOCK2",15935.0468286027,16210.3871007192,16172.3278311785,10403.6912300792,10489.1725877937,10676.1876404551
"PARP4",7246.04838518376,7008.47889800612,7071.18709298237,4294.06791417197,4359.09536764631,4407.36846374515
"ANAPC1",2882.66238260736,2856.705534647,2713.88067980185,1494.49474383841,1422.29661643116,1441.03251873885
"MKI67",9229.69999852421,9513.60605127665,9473.11701099735,5781.93308690336,5072.36334295046,5506.63563528473
"TGOLN2",10645.6689412351,10120.2099451143,10447.1673488217,6581.26994609197,6596.40397963303,6325.936125146
"TLN1",33060.5004741338,32606.5335253298,30548.4377191235,18007.8092898248,19889.8961256062,20070.5211430587
"ABCC4",12122.0755827203,11944.2195774495,12604.4478355811,7772.69858218115,7850.18706252279,7496.36539637639
"NRIP1",3219.38670434959,3005.7327888424,3373.25182352047,1699.06436656915,1545.23730756828,1563.6935063638
"HERC1",8091.09692340224,7951.96834534177,8037.05213385019,4858.52853985492,4856.15729991622,5130.22558165704
"MACF1",18186.3511079433,17291.3594374886,17712.0731364414,11749.4941648031,10968.2173498108,11160.277187036
"ITGA4",4050.40506249548,3976.50891652369,3972.5974562247,2318.45572428164,2216.11194110101,2086.17313304104
"HUWE1",10653.2236535819,10507.4709084812,10202.5179175661,5909.78910111007,6612.30148279731,6328.74515539696
"PRPF8",18721.6564399438,19555.1044184708,18237.751096537,10690.6569508542,11521.4504599278,12035.7582819163
"SMC1A",9126.09251491121,8637.28381709948,8552.72584211013,5468.44908170025,5432.70674800754,5519.74444312251
"CTNNB1",14148.8969808995,13914.1080008633,14070.5254682354,9395.04934022627,9143.18398655112,9338.15289758453
"FTX",1251.92376032368,1115.60543105428,1224.15663371759,2901.85798169892,2521.34400185523,2443.85631832905
"USP34",5661.71728160173,5501.41455276252,6013.46483071375,3373.50461188367,3016.28626703657,2927.94586490994
"EIF3L",8694.39466652374,8709.69846878598,8307.16693341492,5407.8358601504,5235.57770877043,5461.69115126948
"RANBP2",9585.85072344387,9093.81096903609,9803.25732157646,6007.33850454186,5548.22860433466,5456.07309076758
"TNS3",5115.61950339157,5237.99313865656,4958.47100076397,2852.60973918967,3088.35494804798,2975.69937917614
"FOXN3",9010.61334046756,8564.86916541299,9362.1607633647,5606.72299336084,5528.09176699323,5569.37064422268
"GOLGA8A",3184.85087647859,3219.82828078508,3467.8374772401,6825.61699546479,5702.96430180034,6050.65116055262
"LRP1",9821.12605081505,9544.04119473909,9012.01194911412,4521.36749498389,5519.61309863895,5270.67709420469
"ZNF106",10544.2199468641,10452.8975477899,10967.3884442797,6669.34853365659,6177.76972964025,5635.85102682857
"DOCK8",18901.8902916456,18633.6542129528,18908.035969531,12362.2559514086,12959.6445795232,12768.915177415
"FCGBP",360850.835243985,344210.977683146,321608.502718114,172956.986447728,206980.192031239,207003.99359664
"UBR5",5854.90206875512,5719.7079955276,5869.76739525508,3617.85166125649,3123.32945500941,3207.91254658825
"BIRC6",6587.70916639286,6265.44160244033,6592.80195974652,3770.33179671782,4061.28214170208,3558.10498454038
"GNS",5549.47584102099,5677.72848730355,5705.15197868533,3365.92795918994,3393.58700880221,3603.04946855563
"PLEKHB2",8908.08510147554,9171.4730592506,8913.78838563604,5907.89493793664,5966.86285432744,5745.40320661573
"CX3CR1",28810.4351567591,30032.1401834895,28923.201534537,19806.3172229992,20397.556393319,20196.9275043516
"CCNL2",5762.08703135182,5934.85297517589,5776.09121897505,8715.99184255064,9058.39730300828,9050.69546857035
"MYOF",9331.14899289526,8772.66773112206,9168.44206872737,5909.78910111007,5917.05067774602,5888.66374941433
"GALNT2",3845.34858451143,3772.90830163702,3866.1885957901,2183.97013896792,2206.57343920244,2339.92219904379
"NIN",9487.63946293572,9094.86045674169,9906.93774969222,5953.35485409903,6101.4617144517,5607.76072431904
"USP9X",6047.00761128755,5931.70451205909,6096.22727771844,3859.35746586916,3602.37421702646,3784.70009145058
"ASCC3",3269.03195691415,3269.15420294835,3185.89947096042,1928.2581105545,1791.11868984252,1770.62540151733
"CERS6",1450.50477058191,1404.21455009467,1682.53326328198,678.110416088912,624.241957584167,647.013301136159
"KLF13",7306.48608395801,7724.22951322627,7638.70101530019,4507.16127118315,4633.59225561626,4933.59346409033
"NOTCH2",3081.2433928656,3154.7600430378,3136.78768922138,1858.17407313749,1710.57134047682,1684.48180715477
"IQGAP1",19800.9010609125,20384.1997058959,20993.467738561,13941.9880380515,12931.0290738275,12502.0573035745
"SSH1",9194.08492603224,9159.92869448898,8863.76712645739,5862.43502177426,5761.25514673605,6119.00422999247
"TLR8",2257.77974706649,2122.06414072602,2207.30174593803,1151.65120944709,1026.97870441266,1175.11098831531
"ATRN",3125.49242232532,3206.18494061226,3113.14127579147,1796.61377000093,1886.50370882821,1723.80823066812
"CSNK1A1",3993.20509758414,3919.83658042121,4066.27363250472,2459.57088070238,2221.41110882243,2369.88518838729
"PRRC2B",9196.24341527418,8742.23258765962,8561.82061650624,5346.27555701384,5390.31340623612,5856.82807323686
"TBC1D14",1704.12725650956,1927.90891518976,1817.13592434454,920.5633022883,907.217513908399,889.526246135095
"SCRN1",7851.50461754719,8337.13033329749,8093.43973510613,5374.68800461533,5094.61984738046,5270.67709420469
"FKBP11",800.799508758765,752.482684916201,845.814018839049,1582.57333140303,1701.03283857825,1633.91926263762
"TFRC",9186.53021368546,9838.94724001308,10519.9255439906,6308.51044911766,5911.75151002459,5736.97611586287
"CEP350",5854.90206875512,5674.58002418675,5910.69388003761,3781.69677575842,3327.87732905651,3403.60832073797
"CLTC",18779.9356494761,18419.5587210101,19166.3275623808,13071.6200598592,11982.478051692,11584.4407549299
"HERC2",7266.55403298217,6897.23320121237,6593.71143718614,3820.52712081379,4075.0599777778,4412.05018083007
"IER2",2482.26262822798,2348.75348513592,2412.84364729032,3835.68042620125,4242.51367777491,4166.72820558018
"DDX39B",6895.29388336894,6664.24693056886,6828.356616606,9799.45317775416,10261.3083757723,10346.5947576766
"ZFP36L2",10358.5898720575,9943.89601057322,9643.18929220477,5564.1043219586,6387.61677140878,6338.1085895668
"ITGB1",9351.65464069367,9477.9234692862,10375.3186310923,6307.56336753094,5932.9481809103,5556.2618363849
"DIP2B",4163.72574769719,4002.74610916372,3942.5847007175,2489.8774914773,2513.92516704524,2343.66757271173
"SEL1L",5613.15127365814,5370.22858956234,5693.32877197037,3543.0322159059,3140.28679171797,2980.38109626106
"LIPA",12306.6264129059,12162.5130202146,13271.0947988166,8466.90938524424,8275.18031378128,7893.37500517774
"CD163",3062.89623430913,2874.54682564222,2913.96571651647,1529.53676254692,1715.87050819824,1711.63576624732
"DDB1",19144.7203313635,19685.2408939654,19001.712145811,12545.0426976449,13024.2944257247,13700.5768773144
"NOMO2",1942.64031774364,1825.05912004083,1833.50651825755,991.594421292027,937.952686692679,821.17317669524
"NSD1",5851.66433489222,6040.85123344163,6098.04623259766,3921.86485059244,3964.8372891721,3929.83332108315
"GSTM2",3972.69944978573,3874.70860908035,3476.93225163622,6063.21631815812,6221.22290495596,6660.2107250094
