"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.00724695017280602,3,5,1,0.2,0.333333333333333,"CORUM:5342","CORUM","ELMO1-DOCK1-RAC1 complex",3383,1644,"CORUM","DOCK1","DOCK1","ENSG00000150760","CORUM - ELMO1-DOCK1-RAC1 complex"
"query_1",TRUE,0.00724695017280602,2,5,1,0.2,0.5,"CORUM:7064","CORUM","C9orf72-SMCR8 complex",3383,2561,"CORUM","SMCR8","SMCR8","ENSG00000176994","CORUM - C9orf72-SMCR8 complex"
"query_1",TRUE,0.00724695017280602,3,5,1,0.2,0.333333333333333,"CORUM:7063","CORUM","C9orf72-SMCR8-WDR41 complex",3383,2560,"CORUM","SMCR8","SMCR8","ENSG00000176994","CORUM - C9orf72-SMCR8-WDR41 complex"
"query_1",TRUE,0.00724695017280602,2,5,1,0.2,0.5,"CORUM:6622","CORUM","MGAT2-SLC35A3 complex",3383,2261,"CORUM","MGAT2","MGAT2","ENSG00000168282","CORUM - MGAT2-SLC35A3 complex"
"query_1",TRUE,0.00724695017280602,3,5,1,0.2,0.333333333333333,"CORUM:6395","CORUM","4E-T-DDX6-CNOT1 complex",3383,2098,"CORUM","CNOT1","CNOT1","ENSG00000125107","CORUM - 4E-T-DDX6-CNOT1 complex"
"query_1",TRUE,0.00724695017280602,3,5,1,0.2,0.333333333333333,"CORUM:6394","CORUM","CNOT1-CNOT2-CNOT3 complex",3383,2097,"CORUM","CNOT1","CNOT1","ENSG00000125107","CORUM - CNOT1-CNOT2-CNOT3 complex"
"query_1",TRUE,0.00724695017280602,2,5,1,0.2,0.5,"CORUM:6112","CORUM","DGAT2-MGAT2 complex",3383,1898,"CORUM","MGAT2","MGAT2","ENSG00000168282","CORUM - DGAT2-MGAT2 complex"
"query_1",TRUE,0.00724695017280602,3,5,1,0.2,0.333333333333333,"CORUM:5343","CORUM","ELMO1-DOCK1-CRKII complex",3383,1645,"CORUM","DOCK1","DOCK1","ENSG00000150760","CORUM - ELMO1-DOCK1-CRKII complex"
"query_1",TRUE,0.00724695017280602,2,5,1,0.2,0.5,"CORUM:5337","CORUM","ELMO1-DOCK1 complex",3383,1642,"CORUM","DOCK1","DOCK1","ENSG00000150760","CORUM - ELMO1-DOCK1 complex"
"query_1",TRUE,0.00724695017280602,3,5,1,0.2,0.333333333333333,"CORUM:2962","CORUM","CRK-BCAR1-DOCK1 complex",3383,1314,"CORUM","DOCK1","DOCK1","ENSG00000150760","CORUM - CRK-BCAR1-DOCK1 complex"
"query_1",TRUE,0.00724695017280602,3,5,1,0.2,0.333333333333333,"CORUM:5276","CORUM","HIF1A-OS9-EGLN1 complex",3383,1625,"CORUM","EGLN1","EGLN1","ENSG00000135766","CORUM - HIF1A-OS9-EGLN1 complex"
"query_1",TRUE,0.0140177683360597,9,5,1,0.2,0.111111111111111,"CORUM:7215","CORUM","CCR4-NOT-CNOT8-CNOT6 complex",3383,2698,"CORUM","CNOT1","CNOT1","ENSG00000125107","CORUM - CCR4-NOT-CNOT8-CNOT6 complex"
"query_1",TRUE,0.0140177683360597,9,5,1,0.2,0.111111111111111,"CORUM:6765","CORUM","CCR4-NOT complex",3383,2358,"CORUM","CNOT1","CNOT1","ENSG00000125107","CORUM - CCR4-NOT complex"
"query_1",TRUE,0.0140177683360597,7,5,1,0.2,0.142857142857143,"CORUM:7065","CORUM","WDR41-(C9orf72-SMCR8)-(FIP200-ULK1-ATG13-ATG101) complex",3383,2562,"CORUM","SMCR8","SMCR8","ENSG00000176994","CORUM - WDR41-(C9orf72-SMCR8)-(FIP200-ULK1-ATG13-ATG101) complex"
"query_1",TRUE,0.0140177683360597,9,5,1,0.2,0.111111111111111,"CORUM:7192","CORUM","CCR4-NOT-CNOT7-CNOT6 complex",3383,2677,"CORUM","CNOT1","CNOT1","ENSG00000125107","CORUM - CCR4-NOT-CNOT7-CNOT6 complex"
"query_1",TRUE,0.0140177683360597,9,5,1,0.2,0.111111111111111,"CORUM:7214","CORUM","CCR4-NOT-CNOT7-CNOT6L complex",3383,2697,"CORUM","CNOT1","CNOT1","ENSG00000125107","CORUM - CCR4-NOT-CNOT7-CNOT6L complex"
"query_1",TRUE,0.0140177683360597,9,5,1,0.2,0.111111111111111,"CORUM:7216","CORUM","CCR4-NOT-CNOT8-CNOT6L complex",3383,2699,"CORUM","CNOT1","CNOT1","ENSG00000125107","CORUM - CCR4-NOT-CNOT8-CNOT6L complex"
"query_1",TRUE,0.008971690654574,5783,37,21,0.567567567567568,0.00363133321805291,"GO:0005886","GO:CC","plasma membrane",22115,410,"IBA TAS,IDA IPI IGI HDA ISS IBA TAS IEA,IDA IBA IEA,IEA,IDA IBA TAS IEA,IEA,IDA IBA IEA,ISS IBA IEA,IBA TAS IEA,IEA,TAS,TAS IEA,IBA IEA,IDA,IBA,IDA TAS IEA,IDA TAS IEA,IBA TAS IEA,TAS IEA,IDA TAS IEA,ISS IBA TAS NAS","SYT2,ATP1A1,ABHD2,LRBA,MRC1,PCDHGC3,RAPH1,SYT11,TNFRSF10C,PCDHGB6,APOB,NCR3LG1,LYNX1,ABCA3,DOCK1,F2RL3,TSPAN5,SIGLEC14,PCDHA4,GRK5,GNAT2","SYT2,ATP1A1,ABHD2,LRBA,MRC1,PCDHGC3,RAPH1,SYT11,TNFRSF10C,PCDHGB6,APOB,NCR3LG1,LYNX1,ABCA3,DOCK1,F2RL3,TSPAN5,SIGLEC14,PCDHA4,GRK5,GNAT2","ENSG00000143858,ENSG00000163399,ENSG00000140526,ENSG00000198589,ENSG00000260314,ENSG00000240184,ENSG00000173166,ENSG00000132718,ENSG00000173535,ENSG00000253305,ENSG00000084674,ENSG00000188211,ENSG00000180155,ENSG00000167972,ENSG00000150760,ENSG00000127533,ENSG00000168785,ENSG00000254415,ENSG00000204967,ENSG00000198873,ENSG00000134183","GO:CC - plasma membrane"
"query_1",TRUE,0.008971690654574,4803,37,19,0.513513513513513,0.00395586092025817,"GO:0012505","GO:CC","endomembrane system",22115,667,"IBA TAS IEA,ISS,IEA,IEA,TAS IEA,IDA IBA TAS IEA,IDA IBA IEA,IDA IEA,TAS IEA,ISS IBA TAS IEA,IDA TAS IEA,IEA,IDA TAS IEA,TAS,IDA IBA TAS IEA,TAS,ISS IBA TAS IEA,IDA TAS IEA,IDA","SYT2,ATP1A1,ABHD2,LRBA,CERS6,TBC1D14,NOMO2,MRC1,CYP51A1,SYT11,APOB,LYNX1,ABCA3,TSPAN5,MGAT2,SIGLEC14,TXNDC5,ACER2,GRK5","SYT2,ATP1A1,ABHD2,LRBA,CERS6,TBC1D14,NOMO2,MRC1,CYP51A1,SYT11,APOB,LYNX1,ABCA3,TSPAN5,MGAT2,SIGLEC14,TXNDC5,ACER2,GRK5","ENSG00000143858,ENSG00000163399,ENSG00000140526,ENSG00000198589,ENSG00000172292,ENSG00000132405,ENSG00000185164,ENSG00000260314,ENSG00000001630,ENSG00000132718,ENSG00000084674,ENSG00000180155,ENSG00000167972,ENSG00000168785,ENSG00000168282,ENSG00000254415,ENSG00000239264,ENSG00000177076,ENSG00000198873","GO:CC - endomembrane system"
