"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3","CTRL_Veh_0_vs_AD_Veh_0_pvalue","CTRL_Veh_10_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_CTRL_Veh_10_pvalue","AD_Veh_0_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_AD_Veh_10_pvalue"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",-0.17100772591653,-0.372229658767898,-0.265574142492228,0.0827251959057846,-0.0855636201859244,0.500357308141372,-0.334764526970565,-0.384130928643744,-0.441019308042645,0.4190749599382,0.389787753524407,0.326220121592882,0.17196443027769,0.346355176492361,0.118186231959836,5.41151040525657e-05,0.00258810077933415
"GOBP_REPRODUCTION",0.0785354681996017,-0.00296681785118644,-0.0474584634551819,0.0554021977875674,0.01210396317998,0.166170018636491,-0.173947277269194,-0.132967155357788,-0.177548559393984,0.0687315077539322,0.0774163698289649,0.103380417220836,0.0307133813447544,0.919963938131939,0.311868764277918,0.000273696646367568,0.176351792319494
"GOBP_SINGLE_STRAND_BREAK_REPAIR",0.466680096745254,-0.36060849554218,-0.0844646026619235,-0.210233222456163,-0.189004669064713,0.306474224027794,-0.637618545056964,-0.238698369631638,-0.412507051312442,0.320852370309081,0.250115368032989,0.604824456486662,0.207584046259725,0.114685577921471,0.904461489264613,0.00664516252981925,0.251511978507206
"GOBP_REGULATION_OF_DNA_RECOMBINATION",-0.00296932037860564,-0.16457871307037,-0.292164749301281,0.0804688738634466,0.0854668925918049,0.381809166271881,-0.35525145600288,-0.341431181392676,-0.399435948570638,0.290959425972535,0.146531443213284,0.163176994847775,0.121172010310581,0.882989981853836,0.0630546101533056,0.00273395583146994,0.0323571284343359
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",-0.17234535794803,-0.143916116146722,-0.04563304357579,-0.0376810392147392,0.227085010551724,0.194699088894689,-0.607195067482801,-0.279826361812412,-0.434969179935099,0.191526603447194,0.470191126336473,0.0915374887097313,0.0614718306072033,0.435138278616043,0.0786090752659796,0.01013384823008,0.0691295815433741
"GOBP_MITOTIC_SPINDLE_ELONGATION",-0.0511299441881471,0.303451418118021,0.221276749884497,-0.150744064472975,-0.448389862131833,0.377850253736996,-0.39571575570603,-0.388731601757483,-0.342616491460773,0.22664898875537,-0.666926136746396,-0.112851020070232,0.0353653985690444,0.771142615188068,0.450447876630461,0.539226617508366,0.321077349459495
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-0.507971420538418,-0.461252818944768,-0.515211853772122,-0.212596181891387,0.142558581208406,0.512159366287922,-0.233247902264762,-0.255284307342066,-0.494534670495519,0.557136254099214,-0.200014908875166,-0.072345017509253,0.179656959477696,0.875512652295595,0.0908264747025682,0.205400674619227,0.127207606872599
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-0.546218257283291,0.167728067578596,0.32838719486738,-0.134576496760269,0.427604172070362,0.501553444710705,-0.21118505045259,-0.287522724209695,-0.583465402060893,0.648524125445814,0.196007952568201,-0.296268721684083,0.332038529830184,0.821417805867035,0.452153415380314,0.174329899210147,0.63001820146501
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.124645484463181,-0.148445096605555,0.322146282913238,-0.0559046657987552,-0.0300354758565819,0.259013143766098,-0.438044222642049,-0.348961607212188,-0.37377204157539,0.373498046482171,0.33626449251907,0.166018311876078,0.06553652177839,0.134311951803739,0.818731821798919,0.00360395793997514,0.29588665391979
"GOBP_TRANSITION_METAL_ION_TRANSPORT",0.0370569934581829,0.090333524623704,0.144323549116451,-0.0194488240525607,-0.0563607198673605,0.167255777388103,-0.18701142499978,-0.223423327106422,-0.203732973487125,0.329559832839236,0.32676552548288,0.0894714733487696,0.0060758321146625,0.108776273808412,0.490318862909494,0.0276962858746064,0.175578523881193
