"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3","CTRL_Veh_0_vs_AD_Veh_0_pvalue","CTRL_Veh_10_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_CTRL_Veh_10_pvalue","AD_Veh_0_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_AD_Veh_10_pvalue"
"GOBP_REPRODUCTION",0.0785354681996017,-0.00296681785118644,-0.0474584634551819,0.0554021977875674,0.01210396317998,0.166170018636491,-0.173947277269194,-0.132967155357788,-0.177548559393984,0.0687315077539322,0.0774163698289649,0.103380417220836,0.0307133813447544,0.919963938131939,0.311868764277918,0.000273696646367568,0.176351792319494
"GOBP_TRANSITION_METAL_ION_TRANSPORT",0.0370569934581829,0.090333524623704,0.144323549116451,-0.0194488240525607,-0.0563607198673605,0.167255777388103,-0.18701142499978,-0.223423327106422,-0.203732973487125,0.329559832839236,0.32676552548288,0.0894714733487696,0.0060758321146625,0.108776273808412,0.490318862909494,0.0276962858746064,0.175578523881193
"GOBP_UREA_CYCLE",-0.0334410216143965,0.473229738875425,0.396773390811809,-0.115268525485902,0.0955134921711946,-0.334828954986976,-0.520345097265298,-0.310216265813841,-0.231392634011292,0.575529496327909,0.13994808971305,0.418067689771367,0.0369567843497929,0.0494346521761482,0.122976429416455,0.0121875437478494,0.651906217364141
"GOBP_MITOCHONDRIAL_FISSION",0.176877243928391,-0.0340239993534523,-0.173127084988167,0.121064662526685,0.0977553070895693,0.357039177882235,-0.518043101542148,-0.490606342352493,-0.510913121424769,0.399450534990003,0.404352769960466,0.39854252080585,0.0387594718140297,0.127740873524571,0.201255537415916,3.98647486360001e-05,0.0561574075819344
"GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS",0.35644706042989,0.0926263880479055,0.033789606889219,0.164558837565052,0.080499521417263,0.199972747516693,-0.405187796166102,-0.461933394320585,-0.428270127231291,0.183310865148453,0.349551767387713,0.268243334303617,0.0243156987270274,0.123601346441307,0.913660927025711,0.00215272037828298,0.409282393400806
"GOBP_MITOTIC_CYTOKINESIS",0.169879660053764,-0.0645622903551192,-0.0513985750614644,-0.130064734038218,0.139887972599622,0.468107153708438,-0.423210243651486,-0.443252677679394,-0.479715399066944,0.379363706061257,0.165291350229048,0.130039539920943,0.0214723557250865,0.754010090092078,0.513279847771248,0.0104945670183308,0.130169992246477
"GOBP_RESPONSE_TO_OXYGEN_RADICAL",0.148454147872313,0.305687573504683,0.109420772531357,0.0546749682281289,0.0468498349801253,0.261974611855661,-0.305470873153158,-0.206310530048287,-0.319391170095256,0.00199211222906093,0.116127857209234,0.101470339160355,0.00531625962317527,0.587147587886718,0.511863841234284,0.00227395496815274,0.191921998347457
"GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION",0.0543564578162906,0.142775503644053,0.0153540006911686,0.0975747168507321,0.0318150086469811,0.0859583992505697,-0.249888655786196,-0.210440160494445,-0.206679759839845,0.191425536449895,0.156852234096585,0.178282118039152,0.00922557598429643,0.0204877592101816,0.983585428676341,4.14511249174019e-05,0.100236682850154
"GOBP_CYTOKINESIS",0.194112561751905,0.105279882482679,0.0245728780662855,0.0794417022445135,0.198977242197893,0.382543464000408,-0.430648827863787,-0.442490070713045,-0.447147024037558,0.371283329103484,0.240009981762188,0.215829659864926,0.00741848817832774,0.618813722603151,0.343489396182675,0.00419846465855142,0.0713138026047186
"GOBP_RRNA_5_END_PROCESSING",-0.160227593793674,0.492914149787656,0.109893889201374,0.0745277826297706,0.345726215945228,0.471951823046524,-0.695971118024007,-0.770840437532925,-0.674568745143959,0.742359610231154,0.435824928510364,-0.01009796933548,0.0423210407915694,0.734867136593206,0.544866261479281,0.0350572132808152,0.450925868747329
"GOBP_GUANINE_NUCLEOTIDE_TRANSPORT",0.0959823434591744,0.374439261771454,0.260102369582898,-0.0482931145367705,-0.120115881200281,0.233840578386912,-0.284071086730217,-0.47841745186354,-0.417190743845141,0.452316132255625,0.490708945940732,0.307702822471739,0.00426777985078864,0.0476075715335916,0.181299585804933,0.000536832806613793,0.161042496974966
"GOBP_SKELETAL_SYSTEM_DEVELOPMENT",0.12336881794095,0.0943319217028014,0.0175903260869034,0.0928632487193646,0.0219318657817483,0.149788284578999,-0.275775655272472,-0.231802955659782,-0.117389486686463,0.167531148691888,0.168473486302213,0.120992227947224,0.0102992200575965,0.218627642837431,0.850847295772985,0.0105141735511495,0.12901244765842
"GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS",0.168749489599857,0.0367558717694954,0.0542750997782462,0.058917097394566,0.0596996919578588,-0.0441124657550622,-0.140509157363679,-0.22900663379359,-0.228446704384502,0.214013273718827,0.157774656435918,0.0911464391447986,0.00661755377104983,0.0590934151224099,0.317424846290274,0.00178174059199101,0.283614609527361
"GOBP_ACTION_POTENTIAL",-0.0284813195072102,0.0366149015230609,0.0153878637271185,0.0885901984084684,0.0739089453740347,0.0228818225866191,-0.105658186442133,-0.0469265028383815,-0.119658828045065,0.0557898355968,0.0858171216974813,0.0737752900800343,0.029423998178717,0.679521205125863,0.122759504861631,0.0101342199345889,0.0613685592725515
"GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY",0.0352063658901581,0.110333232839404,-0.047793011889142,-0.0752424842498129,-0.0944720053395105,-0.0251673747883793,0.254275618499282,0.187431944438925,0.302801562265695,-0.26761711648969,-0.0868069210569341,-0.100836497864752,0.0222367824102568,0.270668770183913,0.153854572647901,0.00785443123955324,0.0705826848422743
"GOBP_LUTEOLYSIS",0.36207348707652,0.301782414272349,0.284535224049422,0.136329636089801,-0.330401444975703,0.121597919426876,-0.606141750076907,-0.46449731874795,-0.296242669932433,0.0503565807294938,0.301985970012842,0.443429499263765,0.00947196272616276,0.210674022215707,0.153546043334551,0.00902487937511402,0.703958986673202
"GOBP_REGULATION_OF_CELL_GROWTH",-0.0295573747550517,-0.00858447268316678,-0.00979025136309875,0.0871117583956237,-0.0176903246340831,0.205765965816207,-0.300665242785493,-0.289130569020805,-0.348393546196348,0.286585986882473,0.275687811331594,0.104649328905377,0.00140460304862473,0.21000781427672,0.236203712132639,0.00747836837441614,0.0542891008463468
"GOBP_VASCULOGENESIS",0.0426086948996794,0.0833483222016956,0.167962390007153,0.0384360546426855,0.09852442912946,-0.0230279593363407,-0.285146138615834,-0.224226988433612,-0.279423605528388,0.121476699275693,0.292398500373598,0.187931167641935,0.00313261418030853,0.0623537866640399,0.30427925708268,0.00549957551238153,0.178873210040608
"GOBP_GANGLIOSIDE_METABOLIC_PROCESS",0.240468050263435,0.252681504277017,0.00714297198576358,0.0183946641730068,-0.311633704857449,0.0841307269439613,-0.407633214240111,-0.428992344606698,-0.12683820763482,0.348255507034765,0.364245320840671,0.345294436651343,0.0192324266714093,0.0744302673731713,0.192489588476137,0.0199330118933598,0.144791898053768
