"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","GO:0002181","cytoplasmic translation",155,-0.631434082213488,-2.82555045211105,0.0020746887966805,0.0405829142824114,0.0320866758538448,4233,"tags=64%, list=23%, signal=50%","8666/6176/7884/51121/51441/6125/6164/2197/8667/6232/3192/16/8894/6165/6144/2475/6210/7555/55854/51386/10642/8664/8892/54505/6229/6224/9349/220717/1660/4733/11224/8661/6129/8668/25873/6128/6230/6156/6167/6160/10480/6134/8662/26986/6168/25946/5315/9147/6227/6203/4904/27335/6138/6137/6124/7311/6191/9045/4736/10399/6161/6208/6152/6207/6122/1981/6205/6202/6223/6234/728689/6188/6209/6201/6175/6141/23521/6171/8665/6206/6147/6158/6132/6159/24140/6142/6233/6231/6217/3921/6194/6222/6130/6143/6181/6187/6193/6136/6157"
"GO:1905818","GO:1905818","regulation of chromosome separation",72,-0.701310935906424,-2.78295575975295,0.0019723865877712,0.0405829142824114,0.0320866758538448,1835,"tags=47%, list=10%, signal=43%","26271/348654/29781/891/699/9587/23397/10459/11130/83540/64151/7272/9787/4085/147841/10403/9918/11065/3619/9700/332/55143/701/54892/9212/10592/5347/10051/57082/324/57405/991/7175/1063"
"GO:0051983","GO:0051983","regulation of chromosome segregation",125,-0.634286841996873,-2.76013209898123,0.00202429149797571,0.0405829142824114,0.0320866758538448,1835,"tags=38%, list=10%, signal=34%","26271/348654/29781/116028/1062/891/6598/699/9587/23397/10459/11130/79677/983/23137/83540/64151/7272/9787/4085/55920/147841/10403/9918/6604/11065/3619/9700/60/990/10460/332/55143/701/54892/9212/10592/5347/11004/10051/57082/324/57405/991/4288/7175/1063"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation",187,-0.590257091238531,-2.74382663738784,0.00194931773879142,0.0405829142824114,0.0320866758538448,2701,"tags=42%, list=14%, signal=36%","221150/51451/9639/387893/55795/10735/8243/128866/387/5119/4733/26073/26271/220134/348654/29781/1062/3835/440145/348235/891/79598/699/5518/9587/10300/3303/23397/10459/29127/283489/11130/81620/84722/983/83540/23636/146909/64151/7272/9787/4085/22974/10615/147841/5901/9493/90417/10403/9918/11065/3619/9700/332/55143/701/54892/9212/24137/10592/113130/5347/11004/3832/4605/10051/81930/57082/324/57405/25836/29128/3833/991/9126/7175/9928/1063"
"GO:0051304","GO:0051304","chromosome separation",79,-0.675372651246108,-2.72291852875726,0.00199203187250996,0.0405829142824114,0.0320866758538448,1835,"tags=44%, list=10%, signal=40%","26271/348654/29781/891/699/5518/9587/23397/10459/11130/83540/64151/7272/9787/4085/147841/10403/9918/11065/3619/9700/332/55143/701/54892/9212/10592/5347/10051/57082/324/57405/991/7175/1063"
"GO:0000819","GO:0000819","sister chromatid segregation",225,-0.572338530303849,-2.71250623776724,0.00202429149797571,0.0405829142824114,0.0320866758538448,2701,"tags=39%, list=14%, signal=33%","221150/51451/9639/387893/55795/10735/8243/128866/9275/387/5119/6597/4733/26073/26271/220134/348654/29781/116028/1062/3835/440145/348235/891/6598/79598/699/5518/9587/10300/3303/23397/10459/29127/283489/11130/81620/84722/983/83540/23636/146909/64151/7272/9787/4085/22974/10615/147841/5901/9493/90417/10403/9918/6604/11065/3619/9700/60/990/10460/332/55143/701/54892/9212/24137/10592/113130/5347/11004/3832/4605/10051/81930/7153/57082/324/57405/25836/29128/3833/991/9126/7175/9928/1063"
"GO:0051306","GO:0051306","mitotic sister chromatid separation",62,-0.695805231117821,-2.68433168785562,0.00203252032520325,0.0405829142824114,0.0320866758538448,1835,"tags=47%, list=10%, signal=42%","26271/348654/29781/891/699/5518/9587/10459/11130/83540/7272/9787/4085/147841/10403/11065/3619/9700/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation",59,-0.691360330549749,-2.64639375058021,0.00202020202020202,0.0405829142824114,0.0320866758538448,1835,"tags=46%, list=10%, signal=41%","26271/348654/891/699/9587/10459/11130/83540/7272/9787/4085/147841/10403/11065/3619/9700/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling",46,-0.711974799782748,-2.59743425945381,0.00204498977505112,0.0405829142824114,0.0320866758538448,1341,"tags=48%, list=7%, signal=45%","891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling",46,-0.711974799782748,-2.59743425945381,0.00204498977505112,0.0405829142824114,0.0320866758538448,1341,"tags=48%, list=7%, signal=45%","891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling",46,-0.711974799782748,-2.59743425945381,0.00204498977505112,0.0405829142824114,0.0320866758538448,1341,"tags=48%, list=7%, signal=45%","891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0031577","GO:0031577","spindle checkpoint signaling",47,-0.709425322339302,-2.58742730872194,0.00209205020920502,0.0405829142824114,0.0320866758538448,1341,"tags=47%, list=7%, signal=44%","891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation",48,-0.697087293158619,-2.56690667731286,0.00204918032786885,0.0405829142824114,0.0320866758538448,1835,"tags=50%, list=10%, signal=45%","26271/348654/891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation",48,-0.697087293158619,-2.56690667731286,0.00204918032786885,0.0405829142824114,0.0320866758538448,1835,"tags=50%, list=10%, signal=45%","26271/348654/891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition",48,-0.697087293158619,-2.56690667731286,0.00204918032786885,0.0405829142824114,0.0320866758538448,1835,"tags=50%, list=10%, signal=45%","26271/348654/891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation",48,-0.697087293158619,-2.56690667731286,0.00204918032786885,0.0405829142824114,0.0320866758538448,1835,"tags=50%, list=10%, signal=45%","26271/348654/891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0051985","GO:0051985","negative regulation of chromosome segregation",49,-0.694570371003656,-2.55702705207736,0.00206611570247934,0.0405829142824114,0.0320866758538448,1835,"tags=49%, list=10%, signal=44%","26271/348654/891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",49,-0.694570371003656,-2.55702705207736,0.00206611570247934,0.0405829142824114,0.0320866758538448,1835,"tags=49%, list=10%, signal=44%","26271/348654/891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:1905819","GO:1905819","negative regulation of chromosome separation",49,-0.694570371003656,-2.55702705207736,0.00206611570247934,0.0405829142824114,0.0320866758538448,1835,"tags=49%, list=10%, signal=44%","26271/348654/891/699/9587/10459/11130/83540/7272/4085/147841/10403/3619/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle",93,-0.61250186585884,-2.54293831349753,0.00198412698412698,0.0405829142824114,0.0320866758538448,1835,"tags=35%, list=10%, signal=32%","26271/348654/1062/891/6598/699/9587/10459/11130/83540/7272/9787/4085/147841/10403/6604/11065/3619/9700/60/990/10460/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle",94,-0.610951583271179,-2.53847031260043,0.00201612903225806,0.0405829142824114,0.0320866758538448,1835,"tags=35%, list=10%, signal=32%","26271/348654/1062/891/6598/699/9587/10459/11130/83540/7272/9787/4085/147841/10403/6604/11065/3619/9700/60/990/10460/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0007051","GO:0007051","spindle organization",191,-0.543727387478227,-2.53235277211052,0.00195694716242661,0.0405829142824114,0.0320866758538448,2583,"tags=35%, list=14%, signal=31%","9639/10735/8243/128866/387/5119/25777/4733/26073/9793/55142/26271/6047/5524/1062/440145/891/7415/79598/7430/5518/3303/29127/84722/4627/284403/83540/23636/28989/6790/55201/6188/7272/9787/22974/10615/64946/1642/5901/9493/10982/90417/10403/3985/3619/163786/9700/1104/3925/10460/332/55143/203068/9133/9212/24137/5347/3832/4605/57405/29128/3833/991/9126/546/7175/259266"
"GO:1905820","GO:1905820","positive regulation of chromosome separation",28,-0.796255823178514,-2.53154031466927,0.00196463654223969,0.0405829142824114,0.0320866758538448,1723,"tags=57%, list=9%, signal=52%","29781/9587/23397/64151/9787/9918/11065/3619/9700/332/55143/54892/9212/10592/10051/991"
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition",89,-0.612098802382846,-2.53014524432825,0.00197628458498024,0.0405829142824114,0.0320866758538448,1835,"tags=36%, list=10%, signal=33%","26271/348654/1062/891/6598/699/9587/10459/11130/83540/7272/9787/4085/147841/10403/6604/11065/3619/9700/60/990/332/55143/701/9212/5347/57082/324/57405/991/7175/1063"
"GO:0051310","GO:0051310","metaphase chromosome alignment",99,-0.603784621306125,-2.52544823541553,0.00202020202020202,0.0405829142824114,0.0320866758538448,1511,"tags=33%, list=8%, signal=31%","1062/3835/348235/891/81610/1894/29127/283489/11130/81620/84722/284071/83540/23636/55201/55920/10615/147841/90417/10403/3619/332/55143/9212/113130/11004/81930/57082/324/57405/3833/9928/1063"
