"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048193","GO:0048193","Golgi vesicle transport",278,-0.563363718083128,-2.08454686008873,0.00109769484083425,0.014204271923379,0.009388256411419,3444,"tags=45%, list=18%, signal=38%","51542/2619/55062/9570/160/3996/51272/84068/54732/120892/80055/51125/23033/29959/23041/9321/81555/5861/22820/22937/4218/374868/10434/149371/375056/63971/23062/64145/51762/55614/9522/56907/54520/6811/29886/6845/6642/1315/90196/9341/9919/11236/10427/10749/8729/2060/10066/8773/122553/9183/10652/9217/25839/738/8615/60684/10960/10490/377/22818/6102/57222/23233/9265/22872/10640/163882/3998/10564/6643/59349/4253/9950/51552/23299/10959/4905/51614/10802/57020/83696/55770/1314/10466/10484/27032/10890/22796/113419/6653/50999/9581/7415/2181/9135/81876/10228/3064/6892/26958/11196/9632/9980/51479/8452/29934/7805/51594/64764/9871/7109/54832/3916/11031/60412/5034/9276/372/4644/6272/6711/10972/10483/23499/57533/10525"
"GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus",31,-0.757017542511452,-2.07813065598039,0.00152905198776758,0.014204271923379,0.009388256411419,3039,"tags=65%, list=16%, signal=54%","55512/9655/375056/7040/3689/54209/9619/6721/348/6868/10333/3949/4864/10628/4023/19/6850/3688/948/7099"
"GO:0018279","GO:0018279","protein N-linked glycosylation via asparagine",23,-0.794853664976996,-2.06726930694822,0.00151975683890578,0.014204271923379,0.009388256411419,1265,"tags=48%, list=7%, signal=45%","2530/6185/201595/84061/6184/3703/56886/1650/6480/4245/4249"
"GO:0019915","GO:0019915","lipid storage",79,-0.635576696256746,-2.06612033484367,0.00131926121372032,0.014204271923379,0.009388256411419,2121,"tags=41%, list=11%, signal=36%","949/54209/123/84266/9619/60526/6721/348/32/79068/53349/4790/6713/6646/10938/114885/4864/4023/10226/114882/5465/8760/3074/19/718/3685/57674/8204/948/2760/338/3988"
"GO:0046466","GO:0046466","membrane lipid catabolic process",34,-0.733586848080671,-2.06419208465741,0.00149925037481259,0.014204271923379,0.009388256411419,1948,"tags=44%, list=10%, signal=40%","27293/340485/4758/5538/1545/3074/427/4668/2581/2517/8879/950/4074/2760/2720"
"GO:0008037","GO:0008037","cell recognition",93,-0.618138343607731,-2.051194858488,0.0012987012987013,0.014204271923379,0.009388256411419,2541,"tags=30%, list=14%, signal=26%","10576/4739/6950/27242/1954/949/54209/3958/9898/84868/23607/2048/23705/7203/22948/10574/23129/6091/10575/2683/81704/8829/4478/948/1794/351/2909/5175"
"GO:0055094","GO:0055094","response to lipoprotein particle",29,-0.751243115178075,-2.04751744592063,0.00151745068285281,0.014204271923379,0.009388256411419,3039,"tags=62%, list=16%, signal=52%","55512/9655/375056/7040/3689/54209/6721/348/10333/3949/4864/10628/4023/19/6850/3688/948/7099"
"GO:0150115","GO:0150115","cell-substrate junction organization",90,-0.621905238317591,-2.04680821923187,0.00132100396301189,0.014204271923379,0.009388256411419,3033,"tags=40%, list=16%, signal=34%","9922/9475/2185/6548/382/5786/51762/5339/23332/56940/94/596/3987/10982/9448/79834/7414/5795/71/3915/6714/25/613/4323/5295/387/9748/3655/1845/23603/667/8829/87/342184/23499/7094"
"GO:0060840","GO:0060840","artery development",76,-0.629009082682315,-2.0326307340856,0.00133689839572193,0.014204271923379,0.009388256411419,2860,"tags=41%, list=15%, signal=35%","1909/6722/2548/196528/94/10427/639/348/10000/9784/10370/7798/2022/51684/57178/3949/84516/4763/659/4775/23129/6091/25831/3340/1312/7046/8829/163/338/7048/4035"
"GO:0071404","GO:0071404","cellular response to low-density lipoprotein particle stimulus",28,-0.748105174509976,-2.03074480744186,0.00149700598802395,0.014204271923379,0.009388256411419,3039,"tags=61%, list=16%, signal=51%","55512/9655/375056/7040/3689/54209/6721/10333/3949/4864/10628/4023/19/6850/3688/948/7099"
