"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.00689315246586912,2,5,1,0.2,0.5,"CORUM:2688","CORUM","MMP14-CLDN1 complex",3383,1129,"CORUM","CLDN1","CLDN1","ENSG00000163347","CORUM - MMP14-CLDN1 complex"
"query_1",TRUE,0.00689315246586912,2,5,1,0.2,0.5,"CORUM:2798","CORUM","MMP-2-CLDN1 complex",3383,1202,"CORUM","CLDN1","CLDN1","ENSG00000163347","CORUM - MMP-2-CLDN1 complex"
"query_1",TRUE,0.00689315246586912,2,5,1,0.2,0.5,"CORUM:6683","CORUM","SYNE2-TMEM67 complex",3383,2301,"CORUM","SYNE2","SYNE2","ENSG00000054654","CORUM - SYNE2-TMEM67 complex"
"query_1",TRUE,0.0077502106014731,3,5,1,0.2,0.333333333333333,"CORUM:7421","CORUM","TSPY1-TSPYL5-USP7 complex",3383,2831,"CORUM","TSPYL5","TSPYL5","ENSG00000180543","CORUM - TSPY1-TSPYL5-USP7 complex"
"query_1",TRUE,0.00826200255147245,4,5,1,0.2,0.25,"CORUM:2754","CORUM","JUND-FOSB-SMAD3-SMAD4 complex",3383,1173,"CORUM","FOSB","FOSB","ENSG00000125740","CORUM - JUND-FOSB-SMAD3-SMAD4 complex"
"query_1",TRUE,0.00860116321610664,5,5,1,0.2,0.2,"CORUM:7304","CORUM","HIC1-PCL3L-PCR2 complex",3383,2759,"CORUM","HIC1","HIC1","ENSG00000177374","CORUM - HIC1-PCL3L-PCR2 complex"
"query_1",TRUE,0.0031520372664619,2367,31,14,0.451612903225806,0.00591465990705534,"GO:0009605","GO:BP","response to external stimulus",21017,3533,"IEA,IDA IMP IBA IEA,IEA,IDA IMP IEP IBA IEA,IDA IMP IBA IEA,IDA ISS IEA,IDA IMP ISS IEA,IEA,IDA IMP IBA IEA,IDA,IBA IEA,IEA,ISS,ISS","FOSB,IFIT3,COMT,IFIT1,IFIT2,CH25H,SLC15A4,CLDN1,MX2,CD2,GPR88,SCN7A,WNT7B,GPRC5B","FOSB,IFIT3,COMT,IFIT1,IFIT2,CH25H,SLC15A4,CLDN1,MX2,CD2,GPR88,SCN7A,WNT7B,GPRC5B","ENSG00000125740,ENSG00000119917,ENSG00000093010,ENSG00000185745,ENSG00000119922,ENSG00000138135,ENSG00000139370,ENSG00000163347,ENSG00000183486,ENSG00000116824,ENSG00000181656,ENSG00000136546,ENSG00000188064,ENSG00000167191","GO:BP - response to external stimulus"
"query_1",TRUE,0.0177527128110451,10,31,2,0.0645161290322581,0.2,"GO:0072205","GO:BP","metanephric collecting duct development",21017,17236,"ISS,IEA","WNT7B,CALB1","WNT7B,CALB1","ENSG00000188064,ENSG00000104327","GO:BP - metanephric collecting duct development"
"query_1",TRUE,0.0177527128110451,159,31,4,0.129032258064516,0.0251572327044025,"GO:0072006","GO:BP","nephron development",21017,17042,"IEA,IEA,ISS,IEA","COMT,GLI3,WNT7B,CALB1","COMT,GLI3,WNT7B,CALB1","ENSG00000093010,ENSG00000106571,ENSG00000188064,ENSG00000104327","GO:BP - nephron development"
"query_1",TRUE,0.0177527128110451,157,31,4,0.129032258064516,0.0254777070063694,"GO:0031960","GO:BP","response to corticosteroid",21017,7304,"IEA,IEA,IEA,IEA","FOSB,COMT,CLDN1,WNT7B","FOSB,COMT,CLDN1,WNT7B","ENSG00000125740,ENSG00000093010,ENSG00000163347,ENSG00000188064","GO:BP - response to corticosteroid"
